# Sequenom identity comparison	MIN_SNPS:10	PASS_THRESHOLD:0.9
# sample	common SNPs	matching calls	concordance	result
NA	26	26	1.0000	Pass
NA	25	25	1.0000	Pass
NA	26	26	1.0000	Pass
NA	24	24	1.0000	Pass
NA	25	25	1.0000	Pass
NA	20	20	1.0000	Pass
NA	26	26	1.0000	Pass
NA	24	24	1.0000	Pass
NA	24	24	1.0000	Pass
NA	25	25	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	25	25	1.0000	Pass
NA	24	24	1.0000	Pass
NA	24	24	1.0000	Pass
NA	25	25	1.0000	Pass
NA	26	26	1.0000	Pass
NA	24	24	1.0000	Pass
NA	25	25	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	22	22	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	24	24	1.0000	Pass
NA	25	25	1.0000	Pass
NA	25	25	1.0000	Pass
NA	25	25	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	25	25	1.0000	Pass
NA	25	25	1.0000	Pass
NA	25	25	1.0000	Pass
NA	22	22	1.0000	Pass
NA	25	25	1.0000	Pass
NA	25	25	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	22	22	1.0000	Pass
NA	25	25	1.0000	Pass
NA	26	26	1.0000	Pass
NA	25	25	1.0000	Pass
NA	25	25	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	23	23	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	24	24	1.0000	Pass
NA	26	26	1.0000	Pass
NA	26	26	1.0000	Pass
NA	24	24	1.0000	Pass
NA	25	25	1.0000	Pass
