															
	SAMPLE ID	USER WELL	MAF WELL ID	 MAF ID	date of amp	kit	cRNA	yield (ug)	15 ul	ID	water	BEADCHIP	ARRAY	BEADCHIP_ARRAY	DATE OF HYB
hipsci 9 hum 	qc1hip5533929	A1	A1	1	06/06/2013	1302090/1303033	963.1	77.0	14446.5	1	81.3	9259561018	A	9259561018_A	10/06/2013
hipsci 9 hum 	qc1hip5539581	B1	B1	2	06/06/2013	1302090/1303033	960.1	76.8	14401.5	2	81.0	9259561018	C	9259561018_C	10/06/2013
hipsci 9 hum 	qc1hip5539582	C1	C1	3	06/06/2013	1302090/1303033	982.5	78.6	14737.5	3	83.3	9259561018	E	9259561018_E	10/06/2013
hipsci 9 hum 	qc1hip5539583	D1	D1	4	06/06/2013	1302090/1303033	1066.5	85.3	15997.5	4	91.7	9259561018	G	9259561018_G	10/06/2013
hipsci 9 hum 	qc1hip5539584	E1	E1	5	06/06/2013	1302090/1303033	916.1	73.3	13741.5	5	76.6	9259561018	I	9259561018_I	10/06/2013
hipsci 9 hum 	qc1hip5539589	F1	F1	6	06/06/2013	1302090/1303033	994.4	79.6	14916.0	6	84.4	9259561018	K	9259561018_K	10/06/2013
hipsci 9 hum 	qc1hip5539590	G1	G1	7	06/06/2013	1302090/1303033	945.5	75.6	14182.5	7	79.6	9259561018	B	9259561018_B	10/06/2013
hipsci 9 hum 	qc1hip5543999	H1	H1	8	06/06/2013	1302090/1303033	890.7	71.3	13360.5	8	74.1	9259561018	D	9259561018_D	10/06/2013
hipsci 9 hum 	qc1hip5544000	A2	A2	9	06/06/2013	1302090/1303033	968.3	77.5	14524.5	9	81.8	9259561018	F	9259561018_F	10/06/2013
Kit Control	10	B2	B2	10					0.0	10	-15.0		H	_H	
