hipsci 21 hum DN294866F/DN294867G																		
	Supplier Plate ID	SAMPLE ID	Supplier WELL ID	MAF WELL ID	 MAF ID	date of amp	kit	cRNA		15 ul	ID	water	BEADCHIP	ARRAY	BEADCHIP_ARRAY	DATE OF HYB	QC - Array Signal	QC - HK Genes
hipsci 10 hum DN294866F	DN294866F	QC1Hip-86	A1	A1	1	2013/08/28	1302090/1303033	689.3		10339.5	1	53.93	9284936088	A	9284936088_A	2013/08/29		
hipsci 10 hum DN294866F	DN294866F	QC1Hip-87	B2	B1	2	2013/08/28	1302090/1303033	903.4		13551	2	75.34	9284936088	C	9284936088_C	2013/08/29		
hipsci 10 hum DN294866F	DN294866F	QC1Hip-88	C3	C1	3	2013/08/28	1302090/1303033	1401		21015	3	125.1	9284936088	E	9284936088_E	2013/08/29		
hipsci 10 hum DN294866F	DN294866F	QC1Hip-100	D4	D1	4	2013/08/28	1302090/1303033	1868		18680	4	114.533333333333	9284936088	G	9284936088_G	2013/08/29		
hipsci 10 hum DN294866F	DN294866F	QC1Hip-48	E5	E1	5	2013/08/28	1302090/1303033	1849		18490	5	113.266666666667	9284936088	I	9284936088_I	2013/08/29		
hipsci 10 hum DN294866F	DN294866F	QC1Hip-49	F6	F1	6	2013/08/28	1302090/1303033	1827		18270	6	111.8	9284936088	B	9284936088_B	2013/08/29		
hipsci 10 hum DN294866F	DN294866F	QC1Hip-98	G7	G1	7	2013/08/28	1302090/1303033	1206		18090	7	105.6	9284936088	D	9284936088_D	2013/08/29		
hipsci 10 hum DN294866F	DN294866F	QC1Hip-99	H8	H1	8	2013/08/28	1302090/1303033	1533		22995	8	138.3	9284936088	F	9284936088_F	2013/08/29		
hipsci 10 hum DN294866F	DN294866F	QC1Hip-45	A9	A2	9	2013/08/28	1302090/1303033	1750		17500	9	106.666666666667	9284936088	H	9284936088_H	2013/08/29		
hipsci 10 hum DN294866F	DN294866F	QC1Hip-46	B10	B2	10	2013/08/28	1302090/1303033	1896		18960	10	116.4	9284936088	J	9284936088_J	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-75	A11	A3	17	2013/08/28	1302090/1303033	579.6		8694	17	42.96	9275888090	A	9275888090_A	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-76	B12	B3	18	2013/08/28	1302090/1303033	991.6		14874	18	84.16	9275888090	C	9275888090_C	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-77	C1	C3	19	2013/08/28	1302090/1303033	1455		21825	19	130.5	9275888090	E	9275888090_E	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-92	D1	D3	20	2013/08/28	1302090/1303033	1486		22290	20	133.6	9275888090	G	9275888090_G	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-93	E1	E3	21	2013/08/28	1302090/1303033	1518		22770	21	136.8	9275888090	I	9275888090_I	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-94	F1	F3	22	2013/08/28	1302090/1303033	1769		17690	22	107.933333333333	9275888090	K	9275888090_K	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-64	G1	G3	23	2013/08/28	1302090/1303033	1367		20505	23	121.7	9275888090	B	9275888090_B	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-17	H1	H3	24	2013/08/28	1302090/1303033	1873		18730	24	114.866666666667	9275888090	D	9275888090_D	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-51	A2	A4	25	2013/08/28	1302090/1303033	1591		23865	25	144.1	9275888090	F	9275888090_F	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-18	B2	B4	26	2013/08/28	1302090/1303033	2003		20030	26	123.533333333333	9275888090	H	9275888090_H	2013/08/29		
hipsci 11 hum DN294867G	DN294867G	QC1Hip-106	C2	C4	27	2013/08/28	1302090/1303033	830.7		12460.5	27	68.07	9275888090	J	9275888090_J	2013/08/29		
Kit Control		Kit control	H7	H7	48	2013/08/29	1302090/1303033	2058		30870	48							
