sample	xhet	inferred	supplied
urn:wtsi:sample000000	0.000000	1	1
urn:wtsi:sample000001	0.000000	1	1
urn:wtsi:sample000002	0.375000	2	2
urn:wtsi:sample000003	0.375000	2	2
urn:wtsi:sample000004	0.244898	2	2
urn:wtsi:sample000005	0.244898	2	2
urn:wtsi:sample000006	0.021739	1	1
urn:wtsi:sample000007	0.021739	1	1
urn:wtsi:sample000008	0.404255	2	2
urn:wtsi:sample000009	0.404255	2	2
urn:wtsi:sample000010	0.021277	1	1
urn:wtsi:sample000011	0.020833	1	1
urn:wtsi:sample000012	0.044444	1	1
urn:wtsi:sample000013	0.155556	2	2
urn:wtsi:sample000014	0.280000	2	2
urn:wtsi:sample000015	0.000000	1	1
urn:wtsi:sample000016	0.000000	1	1
urn:wtsi:sample000017	0.260870	2	2
urn:wtsi:sample000018	0.000000	1	1
urn:wtsi:sample000019	0.000000	1	1
urn:wtsi:sample000020	0.280000	2	2
urn:wtsi:sample000021	0.040816	1	1
urn:wtsi:sample000022	0.276596	2	2
urn:wtsi:sample000023	0.020833	1	1
urn:wtsi:sample000024	0.000000	1	1
urn:wtsi:sample000025	0.021277	1	1
urn:wtsi:sample000026	0.326531	2	2
urn:wtsi:sample000027	0.020833	1	1
urn:wtsi:sample000028	0.000000	1	1
urn:wtsi:sample000029	0.022727	1	1
urn:wtsi:sample000030	0.291667	2	2
urn:wtsi:sample000031	0.265306	2	2
urn:wtsi:sample000032	0.000000	1	1
urn:wtsi:sample000033	0.163265	2	2
urn:wtsi:sample000034	0.106383	1	2
urn:wtsi:sample000035	0.020833	1	1
urn:wtsi:sample000036	0.212766	2	2
urn:wtsi:sample000037	0.021277	1	1
urn:wtsi:sample000038	0.020833	1	1
urn:wtsi:sample000039	0.000000	1	1
urn:wtsi:sample000040	0.000000	1	1
urn:wtsi:sample000041	0.229167	2	2
urn:wtsi:sample000042	0.239130	2	2
urn:wtsi:sample000043	0.276596	2	2
urn:wtsi:sample000044	0.020000	1	1
urn:wtsi:sample000045	0.062500	1	1
urn:wtsi:sample000046	0.063830	1	1
urn:wtsi:sample000047	0.265306	2	2
urn:wtsi:sample000048	0.000000	1	1
urn:wtsi:sample000049	0.187500	2	2
urn:wtsi:sample000050	0.217391	2	2
urn:wtsi:sample000051	0.276596	2	2
urn:wtsi:sample000052	0.044444	1	1
urn:wtsi:sample000053	0.208333	2	2
urn:wtsi:sample000054	0.304348	2	2
urn:wtsi:sample000055	0.000000	1	1
urn:wtsi:sample000056	0.140000	0	2
urn:wtsi:sample000057	0.152174	2	2
urn:wtsi:sample000058	0.000000	1	1
urn:wtsi:sample000059	0.000000	1	1
urn:wtsi:sample000060	0.229167	2	2
urn:wtsi:sample000061	0.022727	1	1
urn:wtsi:sample000062	0.021277	1	1
urn:wtsi:sample000063	0.020833	1	1
urn:wtsi:sample000064	0.304348	2	2
urn:wtsi:sample000065	0.369565	2	2
urn:wtsi:sample000066	0.000000	1	1
urn:wtsi:sample000067	0.020833	1	1
urn:wtsi:sample000068	0.000000	1	1
urn:wtsi:sample000069	0.063830	1	1
urn:wtsi:sample000070	0.020408	1	1
urn:wtsi:sample000071	0.020833	1	1
urn:wtsi:sample000072	0.250000	2	2
urn:wtsi:sample000073	0.250000	2	2
urn:wtsi:sample000074	0.020408	1	1
urn:wtsi:sample000075	0.163265	2	2
urn:wtsi:sample000076	0.183673	2	2
urn:wtsi:sample000077	0.000000	1	1
urn:wtsi:sample000078	0.244898	2	2
urn:wtsi:sample000079	0.000000	1	1
urn:wtsi:sample000080	0.250000	2	2
urn:wtsi:sample000081	0.000000	1	1
urn:wtsi:sample000082	0.180000	2	2
urn:wtsi:sample000083	0.260000	2	2
urn:wtsi:sample000084	0.183673	2	2
urn:wtsi:sample000085	0.020833	1	1
urn:wtsi:sample000086	0.239130	2	2
urn:wtsi:sample000087	0.020408	1	1
urn:wtsi:sample000088	0.234043	2	2
urn:wtsi:sample000089	0.020833	1	1
urn:wtsi:sample000090	0.224490	2	2
urn:wtsi:sample000091	0.020833	1	1
urn:wtsi:sample000092	0.234043	2	2
urn:wtsi:sample000093	0.000000	1	1
urn:wtsi:sample000094	0.140000	0	2
urn:wtsi:sample000095	0.270833	2	2
urn:wtsi:sample000096	0.183673	2	2
urn:wtsi:sample000097	0.040000	1	1
urn:wtsi:sample000098	0.340426	2	2
urn:wtsi:sample000099	0.187500	2	2
urn:wtsi:sample000100	0.021277	1	1
urn:wtsi:sample000101	0.000000	1	1
urn:wtsi:sample000102	0.260000	2	2
urn:wtsi:sample000103	0.000000	1	1
urn:wtsi:sample000104	0.041667	1	1
urn:wtsi:sample000105	0.020833	1	1
urn:wtsi:sample000106	0.224490	2	2
urn:wtsi:sample000107	0.204082	2	2
urn:wtsi:sample000108	0.000000	1	1
urn:wtsi:sample000109	0.200000	2	2
urn:wtsi:sample000110	0.020833	1	1
urn:wtsi:sample000111	0.021277	1	1
urn:wtsi:sample000112	0.270833	2	2
urn:wtsi:sample000113	0.021277	1	1
urn:wtsi:sample000114	0.000000	1	1
urn:wtsi:sample000115	0.000000	1	1
urn:wtsi:sample000116	0.020833	1	1
urn:wtsi:sample000117	0.060000	1	1
urn:wtsi:sample000118	0.319149	2	2
urn:wtsi:sample000119	0.229167	2	2
urn:wtsi:sample000120	0.041667	1	1
urn:wtsi:sample000121	0.270833	2	2
urn:wtsi:sample000122	0.000000	1	1
urn:wtsi:sample000123	0.260000	2	2
urn:wtsi:sample000124	0.318182	2	2
urn:wtsi:sample000125	0.021277	1	1
urn:wtsi:sample000126	0.000000	1	1
urn:wtsi:sample000127	0.244444	2	2
urn:wtsi:sample000128	0.000000	1	1
urn:wtsi:sample000129	0.000000	1	1
urn:wtsi:sample000130	0.021739	1	1
urn:wtsi:sample000131	0.043478	1	1
urn:wtsi:sample000132	0.040816	1	1
urn:wtsi:sample000133	0.020408	1	1
urn:wtsi:sample000134	0.270833	2	2
urn:wtsi:sample000135	0.021277	1	1
urn:wtsi:sample000136	0.183673	2	2
urn:wtsi:sample000137	0.280000	2	2
urn:wtsi:sample000138	0.043478	1	1
urn:wtsi:sample000139	0.000000	1	1
urn:wtsi:sample000140	0.191489	2	2
urn:wtsi:sample000141	0.148936	0	2
urn:wtsi:sample000142	0.208333	2	2
urn:wtsi:sample000143	0.000000	1	1
urn:wtsi:sample000144	0.000000	1	1
urn:wtsi:sample000145	0.062500	1	1
urn:wtsi:sample000146	0.354167	2	2
