sample	xhet	inferred	supplied
sample_00001	0.171542	NA	2
sample_00002	0.009111	NA	1
sample_00003	0.232676	NA	2
sample_00004	0.011855	NA	1
sample_00005	0.118907	NA	1
sample_00006	0.01146	NA	1
sample_00007	0.011382	NA	1
sample_00008	0.00897	NA	1
sample_00009	0.217893	NA	2
sample_00010	0.008896	NA	1
sample_00011	0.138275	NA	2
sample_00012	0.010686	NA	1
sample_00013	0.293855	NA	2
sample_00014	0.279003	NA	2
sample_00015	0.011146	NA	1
sample_00016	0.22736	NA	2
sample_00017	0.00899	NA	1
sample_00018	0.012274	NA	1
sample_00019	0.221096	NA	2
sample_00020	0.008487	NA	1
sample_00021	0.007813	NA	1
sample_00022	0.01082	NA	1
sample_00023	0.012452	NA	1
sample_00024	0.238169	NA	2
sample_00025	0.245977	NA	2
sample_00026	0.305681	NA	2
sample_00027	0.008021	NA	1
sample_00028	0.219706	NA	2
sample_00029	0.271766	NA	2
sample_00030	0.006335	NA	1
sample_00031	0.012829	NA	1
sample_00032	0.28714	NA	2
sample_00033	0.26301	NA	2
sample_00034	0.244219	NA	2
sample_00035	0.237238	NA	2
sample_00036	0.012434	NA	1
sample_00037	0.106359	NA	2
sample_00038	0.009963	NA	1
sample_00039	0.225615	NA	2
sample_00040	0.224939	NA	2
sample_00041	0.009966	NA	1
sample_00042	0.293209	NA	2
sample_00043	0.302413	NA	2
sample_00044	0.010742	NA	1
sample_00045	0.008473	NA	1
sample_00046	0.01083	NA	1
sample_00047	0.225028	NA	2
sample_00048	0.203004	NA	2
sample_00049	0.011338	NA	1
sample_00050	0.010583	NA	1
sample_00051	0.234291	NA	2
sample_00052	0.306627	NA	2
sample_00053	0.238011	NA	2
sample_00054	0.011654	NA	1
sample_00055	0.011021	NA	1
sample_00056	0.010444	NA	1
sample_00057	0.011063	NA	1
sample_00058	0.009238	NA	1
sample_00059	0.108991	NA	1
sample_00060	0.011532	NA	1
sample_00061	0.011317	NA	1
sample_00062	0.013972	NA	1
sample_00063	0.009593	NA	1
sample_00064	0.242602	NA	2
sample_00065	0.01127	NA	1
sample_00066	0.26113	NA	2
sample_00067	0.232757	NA	2
sample_00068	0.27555	NA	2
sample_00069	0.009383	NA	1
sample_00070	0.278413	NA	2
sample_00071	0.246535	NA	2
sample_00072	0.274309	NA	2
sample_00073	0.249667	NA	2
sample_00074	0.009178	NA	1
sample_00075	0.21203	NA	2
sample_00076	0.26052	NA	2
sample_00077	0.215307	NA	2
sample_00078	0.226888	NA	2
sample_00079	0.010896	NA	1
sample_00080	0.240864	NA	2
sample_00081	0.276176	NA	2
sample_00082	0.323989	NA	2
sample_00083	0.236893	NA	2
sample_00084	0.232585	NA	2
sample_00085	0.010965	NA	1
sample_00086	0.009354	NA	1
sample_00087	0.207761	NA	2
sample_00088	0.008207	NA	1
sample_00089	0.246472	NA	2
sample_00090	0.31694	NA	2
sample_00091	0.234856	NA	2
sample_00092	0.010249	NA	1
sample_00093	0.011755	NA	1
sample_00094	0.126277	NA	1
sample_00095	0.009415	NA	1
sample_00096	0.327721	NA	2
sample_00097	0.009254	NA	1
sample_00098	0.010916	NA	1
sample_00099	0.318697	NA	2
sample_00100	0.010041	NA	1
sample_00101	0.009242	NA	1
sample_00102	0.01	NA	1
sample_00103	0.26579	NA	2
sample_00104	0.277167	NA	2
sample_00105	0.010049	NA	1
sample_00106	0.009141	NA	1
sample_00107	0.007758	NA	1
sample_00108	0.268801	NA	2
sample_00109	0.01284	NA	1
sample_00110	0.241851	NA	2
sample_00111	0.00951	NA	1
sample_00112	0.292199	NA	2
sample_00113	0.011106	NA	1
sample_00114	0.008973	NA	1
sample_00115	0.007765	NA	1
sample_00116	0.254822	NA	2
sample_00117	0.258461	NA	2
sample_00118	0.232698	NA	2
sample_00119	0.31402	NA	2
sample_00120	0.24821	NA	2
sample_00121	0.010755	NA	1
sample_00122	0.241788	NA	2
sample_00123	0.280185	NA	2
sample_00124	0.225911	NA	2
sample_00125	0.011622	NA	1
sample_00126	0.009531	NA	1
sample_00127	0.009512	NA	1
sample_00128	0.297863	NA	2
sample_00129	0.258797	NA	2
sample_00130	0.009899	NA	1
sample_00131	0.12509	NA	2
sample_00132	0.006771	NA	1
sample_00133	0.010468	NA	1
sample_00134	0.247287	NA	2
sample_00135	0.010665	NA	1
sample_00136	0.21294	NA	2
sample_00137	0.011847	NA	1
sample_00138	0.010782	NA	1
sample_00139	0.010444	NA	1
sample_00140	0.282571	NA	2
sample_00141	0.010377	NA	1
sample_00142	0.281388	NA	2
sample_00143	0.010124	NA	1
sample_00144	0.216416	NA	2
sample_00145	0.216626	NA	2
sample_00146	0.011006	NA	1
sample_00147	0.209688	NA	2
sample_00148	0.010153	NA	1
sample_00149	0.008142	NA	1
sample_00150	0.28643	NA	2
sample_00151	0.008868	NA	1
sample_00152	0.226966	NA	2
sample_00153	0.006742	NA	1
sample_00154	0.00933	NA	1
sample_00155	0.248293	NA	2
sample_00156	0.256065	NA	2
sample_00157	0.01044	NA	1
sample_00158	0.008615	NA	1
sample_00159	0.28172	NA	2
sample_00160	0.291626	NA	2
sample_00161	0.010658	NA	1
sample_00162	0.013259	NA	1
sample_00163	0.119231	NA	1
sample_00164	0.011466	NA	1
sample_00165	0.010834	NA	1
sample_00166	0.29537	NA	2
sample_00167	0.219984	NA	2
sample_00168	0.011601	NA	1
sample_00169	0.01061	NA	1
sample_00170	0.248686	NA	2
sample_00171	0.010656	NA	1
sample_00172	0.268316	NA	2
sample_00173	0.293464	NA	2
sample_00174	0.241324	NA	2
sample_00175	0.217279	NA	2
sample_00176	0.283173	NA	2
sample_00177	0.108995	NA	1
sample_00178	0.011135	NA	1
sample_00179	0.011563	NA	1
sample_00180	0.009237	NA	1
sample_00181	0.009395	NA	1
sample_00182	0.008629	NA	1
sample_00183	0.005777	NA	1
sample_00184	0.010256	NA	1
sample_00185	0.009312	NA	1
sample_00186	0.011121	NA	1
sample_00187	0.010251	NA	1
sample_00188	0.010023	NA	1
sample_00189	0.258143	NA	2
sample_00190	0.008994	NA	1
sample_00191	0.00917	NA	1
sample_00192	0.194208	NA	2
sample_00193	0.009038	NA	1
sample_00194	0.010075	NA	1
sample_00195	0.236445	NA	2
sample_00196	0.006625	NA	1
sample_00197	0.235746	NA	2
sample_00198	0.229351	NA	2
sample_00199	0.247806	NA	2
sample_00200	0.00812	NA	1
sample_00201	0.190756	NA	2
sample_00202	0.263853	NA	2
sample_00203	0.011777	NA	1
sample_00204	0.266205	NA	2
sample_00205	0.214776	NA	2
sample_00206	0.008408	NA	1
sample_00207	0.010882	NA	1
sample_00208	0.479636	NA	2
sample_00209	0.273318	NA	2
sample_00210	0.281707	NA	2
sample_00211	0.01104	NA	1
sample_00212	0.011822	NA	1
sample_00213	0.121185	NA	1
sample_00214	0.008114	NA	1
sample_00215	0.120643	NA	2
sample_00216	0.255814	NA	2
sample_00217	0.252907	NA	2
sample_00218	0.271137	NA	2
sample_00219	0.011608	NA	1
sample_00220	0.297489	NA	2
sample_00221	0.008821	NA	1
sample_00222	0.242899	NA	2
sample_00223	0.011244	NA	1
sample_00224	0.009621	NA	1
sample_00225	0.213282	NA	2
sample_00226	0.248899	NA	2
sample_00227	0.107695	NA	1
sample_00228	0.012438	NA	1
sample_00229	0.263402	NA	2
sample_00230	0.202819	NA	2
sample_00231	0.251932	NA	2
sample_00232	0.246592	NA	2
sample_00233	0.237477	NA	2
sample_00234	0.008351	NA	1
sample_00235	0.008577	NA	1
sample_00236	0.291089	NA	2
sample_00237	0.336632	NA	2
sample_00238	0.008211	NA	1
sample_00239	0.009756	NA	1
sample_00240	0.251582	NA	2
sample_00241	0.010864	NA	1
sample_00242	0.007629	NA	1
sample_00243	0.289937	NA	2
sample_00244	0.172438	NA	2
sample_00245	0.240443	NA	2
sample_00246	0.010695	NA	1
sample_00247	0.010015	NA	1
sample_00248	0.249013	NA	2
sample_00249	0.235801	NA	2
sample_00250	0.236954	NA	2
sample_00251	0.009567	NA	1
sample_00252	0.111296	NA	2
sample_00253	0.267227	NA	2
sample_00254	0.012399	NA	1
sample_00255	0.008641	NA	1
sample_00256	0.01008	NA	1
sample_00257	0.214194	NA	2
sample_00258	0.006553	NA	1
sample_00259	0.012066	NA	1
sample_00260	0.197128	NA	2
sample_00261	0.009074	NA	1
sample_00262	0.278865	NA	2
sample_00263	0.24737	NA	2
sample_00264	0.112771	NA	2
sample_00265	0.257442	NA	2
sample_00266	0.242317	NA	2
sample_00267	0.187525	NA	2
sample_00268	0.237224	NA	2
sample_00269	0.009446	NA	1
sample_00270	0.00927	NA	1
sample_00271	0.010203	NA	1
sample_00272	0.007051	NA	1
sample_00273	0.25742	NA	2
sample_00274	0.233913	NA	2
sample_00275	0.318641	NA	2
sample_00276	0.013034	NA	1
sample_00277	0.010746	NA	1
sample_00278	0.235866	NA	2
sample_00279	0.251375	NA	2
sample_00280	0.008946	NA	1
sample_00281	0.010497	NA	1
sample_00282	0.228777	NA	2
sample_00283	0.008646	NA	1
sample_00284	0.2287	NA	2
sample_00285	0.231665	NA	2
sample_00286	0.271277	NA	2
sample_00287	0.2425	NA	2
sample_00288	0.0094	NA	1
sample_00289	0.186832	NA	2
sample_00290	0.01088	NA	1
sample_00291	0.25169	NA	2
sample_00292	0.009611	NA	1
sample_00293	0.009937	NA	1
sample_00294	0.20048	NA	2
sample_00295	0.139509	NA	1
sample_00296	0.188702	NA	2
sample_00297	0.012404	NA	1
sample_00298	0.282068	NA	2
sample_00299	0.009423	NA	1
sample_00300	0.009088	NA	1
sample_00301	0.237534	NA	2
sample_00302	0.250111	NA	2
sample_00303	0.19661	NA	2
sample_00304	0.247874	NA	2
sample_00305	0.229809	NA	2
sample_00306	0.010115	NA	1
sample_00307	0.011164	NA	1
sample_00308	0.009227	NA	1
sample_00309	0.01074	NA	1
sample_00310	0.226347	NA	2
sample_00311	0.00949	NA	1
sample_00312	0.011034	NA	1
sample_00313	0.197264	NA	2
sample_00314	0.270286	NA	2
sample_00315	0.008647	NA	1
sample_00316	0.007673	NA	1
sample_00317	0.006681	NA	1
sample_00318	0.008267	NA	1
sample_00319	0.010716	NA	1
sample_00320	0.009987	NA	1
sample_00321	0.271409	NA	2
sample_00322	0.009747	NA	1
sample_00323	0.273214	NA	2
sample_00324	0.008729	NA	1
sample_00325	0.008115	NA	1
sample_00326	0.276482	NA	2
sample_00327	0.010194	NA	1
sample_00328	0.010326	NA	1
sample_00329	0.011646	NA	1
sample_00330	0.008552	NA	1
sample_00331	0.286551	NA	2
sample_00332	0.300718	NA	2
sample_00333	0.49847	NA	2
sample_00334	0.007957	NA	1
sample_00335	0.268578	NA	2
sample_00336	0.122688	NA	1
sample_00337	0.215208	NA	2
sample_00338	0.3414	NA	2
sample_00339	0.256496	NA	2
sample_00340	0.105947	NA	2
sample_00341	0.007873	NA	1
sample_00342	0.334249	NA	2
sample_00343	0.255009	NA	2
sample_00344	0.225365	NA	2
sample_00345	0.203433	NA	2
sample_00346	0.247819	NA	2
sample_00347	0.226275	NA	2
sample_00348	0.282246	NA	2
sample_00349	0.269188	NA	2
sample_00350	0.012079	NA	1
sample_00351	0.279318	NA	2
sample_00352	0.01137	NA	1
sample_00353	0.009949	NA	1
sample_00354	0.01272	NA	1
sample_00355	0.01287	NA	1
sample_00356	0.273803	NA	2
sample_00357	0.010584	NA	1
sample_00358	0.011068	NA	1
sample_00359	0.009538	NA	1
sample_00360	0.258833	NA	2
sample_00361	0.00941	NA	1
sample_00362	0.105774	NA	2
sample_00363	0.008067	NA	1
sample_00364	0.011189	NA	1
sample_00365	0.267609	NA	2
sample_00366	0.011803	NA	1
sample_00367	0.008263	NA	1
sample_00368	0.221916	NA	2
sample_00369	0.00742	NA	1
sample_00370	0.226567	NA	2
sample_00371	0.010341	NA	1
sample_00372	0.009833	NA	1
sample_00373	0.52007	NA	2
sample_00374	0.246705	NA	2
sample_00375	0.176981	NA	2
sample_00376	0.128821	NA	1
sample_00377	0.220119	NA	2
sample_00378	0.010444	NA	1
sample_00379	0.007798	NA	1
sample_00380	0.009356	NA	1
sample_00381	0.233916	NA	2
sample_00382	0.241733	NA	2
sample_00383	0.008615	NA	1
sample_00384	0.213837	NA	2
sample_00385	0.008231	NA	1
sample_00386	0.237612	NA	2
sample_00387	0.012481	NA	1
sample_00388	0.012082	NA	1
sample_00389	0.009663	NA	1
sample_00390	0.289922	NA	2
sample_00391	0.227466	NA	2
sample_00392	0.007773	NA	1
sample_00393	0.007494	NA	1
sample_00394	0.007803	NA	1
sample_00395	0.011242	NA	1
sample_00396	0.009104	NA	1
sample_00397	0.012289	NA	1
sample_00398	0.249024	NA	2
sample_00399	0.01057	NA	1
sample_00400	0.00825	NA	1
sample_00401	0.263614	NA	2
sample_00402	0.009052	NA	1
sample_00403	0.009632	NA	1
sample_00404	0.013047	NA	1
sample_00405	0.011232	NA	1
sample_00406	0.008793	NA	1
sample_00407	0.010632	NA	1
sample_00408	0.295732	NA	2
sample_00409	0.012754	NA	1
sample_00410	0.145728	NA	1
sample_00411	0.013929	NA	1
sample_00412	0.011361	NA	1
sample_00413	0.007585	NA	1
sample_00414	0.00934	NA	1
sample_00415	0.007882	NA	1
sample_00416	0.28633	NA	2
sample_00417	0.235394	NA	2
sample_00418	0.26854	NA	2
sample_00419	0.305238	NA	2
sample_00420	0.182561	NA	2
sample_00421	0.213605	NA	2
sample_00422	0.241665	NA	2
sample_00423	0.215232	NA	2
sample_00424	0.008411	NA	1
sample_00425	0.009754	NA	1
sample_00426	0.277797	NA	2
sample_00427	0.233795	NA	2
sample_00428	0.010193	NA	1
sample_00429	0.008605	NA	1
sample_00430	0.009773	NA	1
sample_00431	0.216672	NA	2
sample_00432	0.23697	NA	2
sample_00433	0.010936	NA	1
sample_00434	0.009513	NA	1
sample_00435	0.223136	NA	2
sample_00436	0.009585	NA	1
sample_00437	0.010109	NA	1
sample_00438	0.010336	NA	1
sample_00439	0.008864	NA	1
sample_00440	0.268317	NA	2
sample_00441	0.255406	NA	2
sample_00442	0.009224	NA	1
sample_00443	0.247884	NA	2
sample_00444	0.234436	NA	2
sample_00445	0.242273	NA	2
sample_00446	0.008817	NA	1
sample_00447	0.007597	NA	1
sample_00448	0.00923	NA	1
sample_00449	0.240761	NA	2
sample_00450	0.210414	NA	2
sample_00451	0.107838	NA	2
sample_00452	0.011769	NA	1
sample_00453	0.210891	NA	2
sample_00454	0.107091	NA	1
sample_00455	0.268689	NA	2
sample_00456	0.234015	NA	2
sample_00457	0.008772	NA	1
sample_00458	0.239331	NA	2
sample_00459	0.008715	NA	1
sample_00460	0.012048	NA	1
sample_00461	0.011523	NA	1
sample_00462	0.010217	NA	1
sample_00463	0.248207	NA	2
sample_00464	0.01165	NA	1
sample_00465	0.009847	NA	1
sample_00466	0.008015	NA	1
sample_00467	0.255874	NA	2
sample_00468	0.005743	NA	1
sample_00469	0.008706	NA	1
sample_00470	0.192251	NA	2
sample_00471	0.008393	NA	1
sample_00472	0.281402	NA	2
sample_00473	0.208822	NA	2
sample_00474	0.012139	NA	1
sample_00475	0.213808	NA	2
sample_00476	0.227104	NA	2
sample_00477	0.268114	NA	2
sample_00478	0.222416	NA	2
sample_00479	0.007061	NA	1
sample_00480	0.010302	NA	1
sample_00481	0.010188	NA	1
sample_00482	0.238336	NA	2
sample_00483	0.244716	NA	2
sample_00484	0.011837	NA	1
sample_00485	0.010467	NA	1
sample_00486	0.011278	NA	1
sample_00487	0.009963	NA	1
sample_00488	0.011269	NA	1
sample_00489	0.300071	NA	2
sample_00490	0.010177	NA	1
sample_00491	0.012253	NA	1
sample_00492	0.007949	NA	1
sample_00493	0.008674	NA	1
sample_00494	0.01044	NA	1
sample_00495	0.26258	NA	2
sample_00496	0.234948	NA	2
sample_00497	0.010689	NA	1
sample_00498	0.010506	NA	1
sample_00499	0.125869	NA	2
sample_00500	0.010558	NA	1
sample_00501	0.261328	NA	2
sample_00502	0.008385	NA	1
sample_00503	0.01066	NA	1
sample_00504	0.010208	NA	1
sample_00505	0.009698	NA	1
sample_00506	0.009057	NA	1
sample_00507	0.010716	NA	1
sample_00508	0.011853	NA	1
sample_00509	0.25758	NA	2
sample_00510	0.008295	NA	1
sample_00511	0.010932	NA	1
sample_00512	0.227733	NA	2
sample_00513	0.009226	NA	1
sample_00514	0.289438	NA	2
sample_00515	0.269896	NA	2
sample_00516	0.008469	NA	1
sample_00517	0.008151	NA	1
sample_00518	0.260613	NA	2
sample_00519	0.186462	NA	2
sample_00520	0.011024	NA	1
sample_00521	0.218363	NA	2
sample_00522	0.009093	NA	1
sample_00523	0.00992	NA	1
sample_00524	0.100817	NA	1
sample_00525	0.007214	NA	1
sample_00526	0.234386	NA	2
sample_00527	0.010733	NA	1
sample_00528	0.011865	NA	1
sample_00529	0.008769	NA	1
sample_00530	0.010126	NA	1
sample_00531	0.009859	NA	1
sample_00532	0.315294	NA	2
sample_00533	0.010519	NA	1
sample_00534	0.23767	NA	2
sample_00535	0.008607	NA	1
sample_00536	0.008857	NA	1
sample_00537	0.226574	NA	2
sample_00538	0.251487	NA	2
sample_00539	0.009907	NA	1
sample_00540	0.241187	NA	2
sample_00541	0.008063	NA	1
sample_00542	0.247813	NA	2
sample_00543	0.007561	NA	1
sample_00544	0.213849	NA	2
sample_00545	0.260229	NA	2
sample_00546	0.210505	NA	2
sample_00547	0.008903	NA	1
sample_00548	0.248066	NA	2
sample_00549	0.01245	NA	1
sample_00550	0.249278	NA	2
sample_00551	0.230687	NA	2
sample_00552	0.27777	NA	2
sample_00553	0.010013	NA	1
sample_00554	0.192438	NA	2
sample_00555	0.226714	NA	2
sample_00556	0.249315	NA	2
sample_00557	0.216933	NA	2
sample_00558	0.011427	NA	1
sample_00559	0.008744	NA	1
