sample	cr	het	duplicate	gender	identity	xydiff
plate07_B02_s000585	0.990099	0.2889	1	1	1	0
plate08_D07_s000723	0.980198	0.2222	1	0	1	1
plate04_E11_s000372	0.980198	0.1395	1	0	1	1
plate08_C04_s000698	0.980198	0.4545	1	1	1	1
plate03_F12_s000285	0.980198	0.2273	1	1	1	0
plate08_F12_s000765	0.980198	0.3409	1	0	1	1
plate01_F01_s000005	0.980198	0.2727	0	1	1	1
plate10_A06_s000904	0.980198	0.2500	1	1	1	0
plate07_F08_s000637	0.980198	0.4318	1	1	1	1
plate06_D03_s000499	0.980198	0.2273	1	0	1	1
plate10_H02_s000879	0.980198	0.2444	1	0	1	1
plate09_C03_s000786	0.970297	0.2558	1	1	1	0
plate07_G08_s000638	0.970297	0.2619	1	1	1	0
plate03_E09_s000260	0.970297	0.2889	1	0	1	1
plate07_F11_s000661	0.970297	0.2045	1	1	1	0
plate01_B01_s000001	0.970297	0.2955	0	1	1	1
plate06_G08_s000542	0.960396	0.3333	1	1	1	0
plate01_B02_s000009	0.960396	0.1364	0	1	1	1
plate01_D01_s000003	0.960396	0.2093	0	1	1	1
plate06_F02_s000493	0.960396	0.1429	1	0	1	1
plate04_F03_s000309	0.960396	0.0909	1	1	1	1
plate03_G01_s000198	0.960396	0.2045	1	0	1	1
plate04_F08_s000349	0.960396	0.2558	1	0	1	1
plate09_G04_s000798	0.960396	0.4773	1	1	1	1
plate09_H03_s000791	0.960396	0.1136	1	0	1	1
plate02_A10_s000168	0.960396	0.3023	1	0	1	1
plate04_G09_s000358	0.960396	0.2326	1	0	1	1
plate08_A05_s000704	0.950495	0.4524	1	1	1	1
plate07_C03_s000594	0.950495	0.3571	1	0	1	0
plate07_A12_s000664	0.950495	0.1905	1	0	1	1
plate08_G05_s000710	0.950495	0.4286	1	1	1	1
plate04_H09_s000359	0.950495	0.1818	1	0	1	1
plate04_E06_s000332	0.950495	0.3721	1	0	1	1
plate01_G12_s000094	0.950495	0.3000	1	0	1	1
plate01_A08_s000056	0.950495	0.2683	1	0	1	1
plate01_G07_s000054	0.950495	0.2273	1	1	1	0
plate02_A12_s000184	0.950495	0.0698	1	1	1	1
plate02_H11_s000183	0.950495	0.1163	1	0	1	1
plate02_A11_s000176	0.950495	0.2143	1	1	1	0
plate02_D07_s000147	0.950495	0.2791	1	0	1	1
plate02_F06_s000141	0.950495	0.2791	1	0	1	1
plate02_A03_s000112	0.950495	0.4286	1	1	1	1
plate06_E09_s000548	0.950495	0.1707	1	0	1	1
plate06_F12_s000573	0.950495	0.4524	1	1	1	1
plate06_C04_s000506	0.950495	0.1860	1	0	1	1
plate02_C07_s000146	0.940594	0.2439	1	1	1	1
plate10_G01_s000870	0.940594	0.2857	1	1	1	1
plate10_F01_s000869	0.940594	0.0682	1	1	1	1
plate02_H05_s000135	0.940594	0.2143	1	1	1	1
plate07_H05_s000615	0.940594	0.2093	1	0	1	1
plate09_F10_s000845	0.940594	0.2619	1	1	1	1
plate02_C10_s000170	0.940594	0.1707	1	1	1	1
plate02_C06_s000138	0.940594	0.2326	1	1	1	1
plate06_A10_s000552	0.940594	0.2857	1	1	1	1
plate07_B05_s000609	0.940594	0.4186	1	1	1	1
plate02_A09_s000160	0.940594	0.2143	1	1	1	1
plate02_E08_s000156	0.940594	0.2558	1	1	1	1
plate02_D08_s000155	0.940594	0.2857	1	1	1	1
plate02_B07_s000145	0.940594	0.2195	1	1	1	1
plate06_B10_s000553	0.940594	0.1667	1	1	1	1
plate02_F07_s000149	0.940594	0.2955	1	1	1	1
plate09_F11_s000853	0.940594	0.2727	1	1	1	1
