#Sample	CR	autosomal_het	x_het
#stats from 101/210 SNPs with CR >= 95%
plate03_A02_s000200	1.000000	0.1556	0.2857
plate04_H08_s000351	1.000000	0.2667	0.0179
plate09_A08_s000824	1.000000	0.2000	0.0357
plate11_G04_s000990	1.000000	0.1111	0.2321
plate08_E07_s000724	1.000000	0.2667	0.0179
plate04_B02_s000297	1.000000	0.3333	0.0000
plate03_H04_s000223	1.000000	0.2889	0.0000
plate04_B01_s000289	1.000000	0.2222	0.3929
plate03_E11_s000276	1.000000	0.2000	0.2143
plate04_F11_s000373	1.000000	0.2889	0.0357
plate02_E02_s000108	0.990099	0.2500	0.0000
plate05_G08_s000446	0.990099	0.3111	0.0364
plate02_F03_s000117	0.990099	0.2955	0.0536
plate08_C01_s000674	0.990099	0.4091	0.0000
plate05_E07_s000436	0.990099	0.3111	0.0000
plate07_H12_s000671	0.990099	0.3111	0.2182
plate05_B07_s000433	0.990099	0.3333	0.3091
plate02_B01_s000097	0.990099	0.3182	0.0357
plate05_C10_s000458	0.990099	0.2444	0.4000
plate10_B06_s000905	0.990099	0.2667	0.2545
plate01_C12_s000090	0.990099	0.2667	0.2182
plate07_E11_s000660	0.990099	0.2500	0.2679
plate01_G09_s000070	0.990099	0.3333	0.0182
plate06_E02_s000492	0.990099	0.2273	0.2500
plate10_F09_s000933	0.990099	0.3864	0.0357
plate10_E10_s000940	0.990099	0.2667	0.2364
plate10_B11_s000945	0.990099	0.3409	0.2500
plate01_H06_s000047	0.990099	0.2222	0.2727
plate03_D08_s000251	0.990099	0.2500	0.0179
plate09_F03_s000789	0.990099	0.1818	0.0000
plate09_B03_s000785	0.990099	0.3182	0.0357
plate03_D07_s000243	0.990099	0.3556	0.2727
plate09_D02_s000779	0.990099	0.1591	0.2321
plate08_H11_s000759	0.990099	0.2727	0.2321
plate04_D02_s000299	0.990099	0.2444	0.2364
plate03_D03_s000211	0.990099	0.2000	0.0364
plate03_B03_s000209	0.990099	0.2000	0.2000
plate04_C04_s000314	0.990099	0.2000	0.2000
plate08_A09_s000736	0.990099	0.3111	0.1818
plate09_D09_s000835	0.990099	0.3636	0.0357
plate08_H07_s000727	0.990099	0.2667	0.2182
plate02_E09_s000164	0.990099	0.2889	0.0182
plate05_E01_s000388	0.990099	0.2727	0.1964
plate02_H07_s000151	0.990099	0.2222	0.0364
plate02_H06_s000143	0.990099	0.2273	0.0000
plate10_H01_s000871	0.990099	0.1818	0.2679
plate07_A06_s000616	0.990099	0.2727	0.0179
plate11_B04_s000985	0.990099	0.2000	0.0182
plate06_E07_s000532	0.990099	0.3111	0.0364
plate10_G12_s000958	0.990099	0.2889	0.0000
plate07_D04_s000603	0.990099	0.2444	0.3091
plate07_G05_s000614	0.990099	0.2889	0.0182
plate11_C02_s000970	0.990099	0.2444	0.0364
plate07_B02_s000585	0.990099	0.2889	0.1636
plate07_E06_s000620	0.990099	0.2273	0.0357
plate04_E09_s000356	0.980198	0.2791	0.0179
plate05_H01_s000391	0.980198	0.2955	0.0182
plate09_G11_s000854	0.980198	0.2444	0.0370
plate06_H09_s000551	0.980198	0.2667	0.2222
plate02_F10_s000173	0.980198	0.2955	0.2182
plate09_E11_s000852	0.980198	0.3023	0.2321
plate08_D07_s000723	0.980198	0.2222	0.0926
plate11_G02_s000974	0.980198	0.2045	0.1636
plate08_C07_s000722	0.980198	0.1163	0.2500
plate04_E11_s000372	0.980198	0.1395	0.1429
plate11_A03_s000976	0.980198	0.2500	0.3818
plate08_C06_s000714	0.980198	0.3256	0.0179
plate02_H09_s000167	0.980198	0.2273	0.0364
plate08_B07_s000721	0.980198	0.1395	0.1429
plate04_D10_s000363	0.980198	0.3182	0.0000
plate02_G04_s000126	0.980198	0.3111	0.0000
plate08_D02_s000683	0.980198	0.1818	0.0364
plate10_E02_s000876	0.980198	0.1778	0.1667
plate05_C06_s000426	0.980198	0.2444	0.2037
plate08_C03_s000690	0.980198	0.1364	0.0182
plate05_D05_s000419	0.980198	0.2727	0.0545
plate08_H03_s000695	0.980198	0.2667	0.2407
plate08_A04_s000696	0.980198	0.2000	0.2778
plate10_C01_s000866	0.980198	0.1860	0.0000
plate08_C04_s000698	0.980198	0.4545	0.1818
plate08_F04_s000701	0.980198	0.3111	0.0370
plate09_G12_s000862	0.980198	0.3636	0.0364
plate09_F12_s000861	0.980198	0.1333	0.2963
plate09_E12_s000860	0.980198	0.2727	0.2000
plate05_F02_s000397	0.980198	0.3023	0.2857
plate05_C02_s000394	0.980198	0.2500	0.0182
plate09_B12_s000857	0.980198	0.1591	0.3818
plate08_H09_s000743	0.980198	0.2955	0.2182
plate08_E10_s000748	0.980198	0.2667	0.0185
plate04_F02_s000301	0.980198	0.1778	0.0185
plate07_B04_s000601	0.980198	0.2955	0.0182
plate04_A02_s000296	0.980198	0.1364	0.0182
plate03_G04_s000222	0.980198	0.1818	0.2364
plate06_A12_s000568	0.980198	0.2889	0.0000
plate03_F12_s000285	0.980198	0.2273	0.0182
plate08_D12_s000763	0.980198	0.1364	0.2727
plate08_F12_s000765	0.980198	0.3409	0.1091
plate09_E01_s000772	0.980198	0.3182	0.2545
plate01_F01_s000005	0.980198	0.2727	0.2182
plate03_E06_s000236	0.980198	0.2093	0.0179
plate01_E01_s000004	0.980198	0.2727	0.2182
plate03_C10_s000266	0.980198	0.2326	0.1964
plate03_F09_s000261	0.980198	0.2045	0.0182
plate07_A03_s000592	0.980198	0.2500	0.0182
plate03_A09_s000256	0.980198	0.3333	0.1852
plate09_B10_s000841	0.980198	0.2889	0.0556
plate02_C11_s000178	0.980198	0.1136	0.1636
plate04_D09_s000355	0.980198	0.3864	0.0000
plate07_C05_s000610	0.980198	0.3409	0.2000
plate04_A08_s000344	0.980198	0.2667	0.1852
plate04_H07_s000343	0.980198	0.3111	0.0370
plate08_H08_s000735	0.980198	0.2500	0.0182
plate06_F10_s000557	0.980198	0.2444	0.3704
plate04_C06_s000330	0.980198	0.2000	0.2222
plate04_A06_s000328	0.980198	0.1778	0.2037
plate04_H05_s000327	0.980198	0.2444	0.0370
plate04_E05_s000324	0.980198	0.2791	0.0000
plate04_C05_s000322	0.980198	0.3864	0.0545
plate03_B02_s000201	0.980198	0.1778	0.2222
plate09_G08_s000830	0.980198	0.1818	0.2727
plate09_F08_s000829	0.980198	0.1778	0.0000
plate04_A04_s000312	0.980198	0.2791	0.0000
plate01_G02_s000014	0.980198	0.3409	0.2545
plate07_C04_s000602	0.980198	0.1778	0.2222
plate01_C10_s000074	0.980198	0.3409	0.0182
plate01_D10_s000075	0.980198	0.2727	0.1636
plate05_D12_s000475	0.980198	0.2889	0.0370
plate06_G07_s000534	0.980198	0.1591	0.2545
plate10_G07_s000918	0.980198	0.1628	0.0179
plate05_A12_s000472	0.980198	0.2955	0.0000
plate01_B11_s000081	0.980198	0.2727	0.0000
plate01_C11_s000082	0.980198	0.2093	0.1607
plate01_D11_s000083	0.980198	0.2093	0.2679
plate05_D11_s000467	0.980198	0.3182	0.0000
plate01_H11_s000087	0.980198	0.2273	0.0182
plate05_C11_s000466	0.980198	0.2889	0.0185
plate10_A07_s000912	0.980198	0.1364	0.3818
plate05_E10_s000460	0.980198	0.2667	0.0185
plate10_A06_s000904	0.980198	0.2500	0.0000
plate11_E01_s000964	0.980198	0.2500	0.0545
plate07_B07_s000625	0.980198	0.2558	0.0179
plate06_G05_s000518	0.980198	0.2273	0.0182
plate10_E12_s000956	0.980198	0.3556	0.2963
plate07_F08_s000637	0.980198	0.4318	0.0364
plate06_D05_s000515	0.980198	0.2273	0.2182
plate07_B09_s000641	0.980198	0.2727	0.2727
plate06_D04_s000507	0.980198	0.2955	0.0000
plate06_B04_s000505	0.980198	0.2727	0.2364
plate06_F03_s000501	0.980198	0.2727	0.0182
plate06_G06_s000526	0.980198	0.3333	0.0370
