sample	cr	het	duplicate	gender	identity	xydiff
s000719	1.000000	0.2449	1	0	1	1
s000086	0.989691	0.2500	1	0	1	1
s000132	0.989691	0.2708	1	1	1	0
s000517	0.989691	0.2245	1	0	1	1
s000009	0.989691	0.2708	0	1	1	1
s000001	0.989691	0.1837	0	1	1	1
s000327	0.979381	0.2128	1	0	1	1
s000764	0.979381	0.2708	1	0	1	1
s000745	0.979381	0.4167	1	1	1	1
s000602	0.979381	0.3333	1	0	1	1
s000505	0.979381	0.0833	1	1	1	1
s000551	0.979381	0.1429	1	0	1	1
s000559	0.969072	0.2708	1	1	1	0
s000430	0.969072	0.2340	1	0	1	1
s000390	0.969072	0.3478	1	0	1	1
s000387	0.969072	0.2917	1	0	1	1
s000365	0.969072	0.1915	1	0	1	1
s000500	0.969072	0.2292	1	0	1	1
s000027	0.969072	0.2766	1	0	1	1
s000872	0.969072	0.4043	1	1	1	1
s000987	0.969072	0.3958	1	0	1	1
s000972	0.969072	0.0833	1	1	1	1
s000744	0.969072	0.4167	1	1	1	1
s000267	0.969072	0.2917	1	0	1	1
s000301	0.958763	0.3333	1	0	1	1
s000305	0.958763	0.4130	1	1	1	1
s000479	0.958763	0.2917	1	0	1	1
s000228	0.958763	0.1250	1	0	1	1
s000107	0.958763	0.2083	1	1	1	0
s000073	0.958763	0.4222	1	1	1	1
s000578	0.958763	0.1702	1	0	1	1
s000736	0.958763	0.2979	1	0	1	1
s000961	0.958763	0.0816	1	1	1	1
s000423	0.958763	0.3043	1	1	1	0
s000425	0.958763	0.3061	1	0	1	1
s000452	0.958763	0.2128	1	0	1	1
s000724	0.948454	0.3556	1	1	1	1
s000992	0.948454	0.2292	1	1	1	1
s000662	0.948454	0.1778	1	1	1	1
s000005	0.948454	0.2444	0	1	1	1
s000014	0.948454	0.2222	1	1	1	1
s000665	0.948454	0.2174	1	1	1	1
s000721	0.948454	0.2667	1	1	1	1
s000002	0.948454	0.3111	1	1	1	1
s000691	0.948454	0.2174	1	1	1	1
s000723	0.948454	0.1739	1	1	1	1
s000175	0.948454	0.1304	1	1	1	1
s000969	0.948454	0.2083	1	1	1	1
s000953	0.948454	0.1489	1	1	1	1
s000006	0.948454	0.2553	1	1	1	1
s000004	0.948454	0.2444	1	1	1	1
s000678	0.948454	0.2667	1	1	1	1
s000962	0.948454	0.1957	1	1	1	1
s000003	0.948454	0.3111	0	1	1	1
s000708	0.948454	0.2766	1	1	1	1
s000706	0.948454	0.1489	1	1	1	1
s000675	0.948454	0.2553	1	1	1	1
s000674	0.948454	0.2000	1	1	1	1
s000672	0.948454	0.3261	1	1	1	1
s000180	0.948454	0.3404	1	1	1	1
s000957	0.948454	0.3261	1	1	1	1
s000976	0.948454	0.2667	1	1	1	1
s000963	0.948454	0.1667	1	0	1	1
s000007	0.948454	0.2553	0	1	1	1
s000064	0.948454	0.3478	1	1	1	1
s000687	0.948454	0.2174	1	1	1	1
s000071	0.948454	0.3696	1	1	1	1
s000065	0.948454	0.3043	1	1	1	1
s000986	0.948454	0.2708	1	1	1	1
s000799	0.948454	0.2391	1	1	1	1
s000880	0.948454	0.2500	1	1	1	1
s000800	0.948454	0.1875	1	1	1	1
s000877	0.948454	0.2292	1	1	1	1
s000163	0.948454	0.2391	1	1	1	1
s000808	0.948454	0.3191	1	1	1	1
s000812	0.948454	0.1739	1	1	1	1
s000873	0.948454	0.2826	1	1	1	1
s000208	0.948454	0.2391	1	1	1	1
s000209	0.948454	0.2979	1	1	1	1
s000039	0.948454	0.2292	1	0	1	1
s000869	0.948454	0.3333	1	1	1	1
s000867	0.948454	0.2500	1	1	1	1
s000817	0.948454	0.3125	1	1	1	1
s000037	0.948454	0.2174	1	1	1	1
s000035	0.948454	0.1957	1	1	1	1
s000221	0.948454	0.2128	1	1	1	1
s000857	0.948454	0.2826	1	0	1	1
s000164	0.948454	0.2083	1	1	1	0
s000854	0.948454	0.3556	1	1	1	1
s000851	0.948454	0.2979	1	1	1	1
s000831	0.948454	0.2500	1	1	1	1
s000846	0.948454	0.3125	1	1	1	1
s000832	0.948454	0.3111	1	1	1	1
s000219	0.948454	0.3617	1	1	1	1
s000834	0.948454	0.2667	1	1	1	1
s000844	0.948454	0.2128	1	1	1	1
s000217	0.948454	0.2609	1	1	1	1
s000838	0.948454	0.2292	1	1	1	1
s000840	0.948454	0.0851	1	1	1	1
s000947	0.948454	0.2340	1	1	1	1
s000730	0.948454	0.2391	1	1	1	0
s000943	0.948454	0.2917	1	1	1	1
s000185	0.948454	0.3191	1	1	1	1
s000939	0.948454	0.1739	1	0	1	1
s000738	0.948454	0.3778	1	1	1	1
s000740	0.948454	0.1702	1	1	1	0
s000056	0.948454	0.2045	1	1	1	1
s000747	0.948454	0.2979	1	1	1	1
s000927	0.948454	0.2222	1	1	1	1
s000754	0.948454	0.1915	1	1	1	1
s000755	0.948454	0.2449	1	1	1	1
s000756	0.948454	0.2609	1	1	1	0
s000759	0.948454	0.1489	1	1	1	1
s000921	0.948454	0.3636	1	1	1	1
s000190	0.948454	0.1277	1	1	1	1
s000916	0.948454	0.3043	1	1	1	1
s000773	0.948454	0.1837	1	1	1	1
s000778	0.948454	0.2979	1	1	1	1
s000899	0.948454	0.1489	1	1	1	1
s000898	0.948454	0.1957	1	1	1	1
s000201	0.948454	0.2273	1	1	1	1
s000233	0.948454	0.2340	1	1	1	1
s000203	0.948454	0.2766	1	1	1	1
s000787	0.948454	0.1489	1	1	1	1
s000230	0.948454	0.3261	1	1	1	1
s000885	0.948454	0.2609	1	0	1	1
s000792	0.948454	0.2174	1	1	1	1
s000794	0.948454	0.1915	1	1	1	1
s000881	0.948454	0.3404	1	0	1	1
s000096	0.948454	0.2826	1	1	1	1
s000564	0.948454	0.1556	1	1	1	1
s000566	0.948454	0.2391	1	1	1	1
s000458	0.948454	0.2979	1	1	1	1
s000094	0.948454	0.3043	1	1	1	1
s000309	0.948454	0.2766	1	1	1	1
s000446	0.948454	0.1739	1	1	1	1
s000445	0.948454	0.1667	1	1	1	1
s000579	0.948454	0.2826	1	1	1	1
s000442	0.948454	0.2766	1	1	1	1
s000441	0.948454	0.1591	1	0	1	1
s000277	0.948454	0.2553	1	1	1	1
s000089	0.948454	0.3696	1	1	1	1
s000436	0.948454	0.3404	1	0	1	1
s000088	0.948454	0.3261	1	1	1	1
s000590	0.948454	0.2174	1	1	1	1
s000272	0.948454	0.3404	1	1	1	1
s000432	0.948454	0.3061	1	1	1	1
s000597	0.948454	0.3061	1	1	1	1
s000316	0.948454	0.2553	1	1	1	1
s000600	0.948454	0.2083	1	1	1	1
s000421	0.948454	0.3913	1	1	1	1
s000608	0.948454	0.2222	1	1	1	1
s000420	0.948454	0.2766	1	1	1	0
s000416	0.948454	0.2174	1	1	1	1
s000415	0.948454	0.2340	1	1	1	1
s000516	0.948454	0.2708	1	1	1	1
s000296	0.948454	0.1739	1	1	1	1
s000106	0.948454	0.2128	1	1	1	1
s000105	0.948454	0.3261	1	1	1	1
s000289	0.948454	0.2826	1	1	1	1
s000287	0.948454	0.4000	1	1	1	1
s000495	0.948454	0.3043	1	1	1	1
s000494	0.948454	0.4000	1	1	1	1
s000531	0.948454	0.2766	1	1	1	1
s000533	0.948454	0.2128	1	1	1	1
s000300	0.948454	0.2955	1	0	1	1
s000302	0.948454	0.2609	1	1	1	1
s000484	0.948454	0.3111	1	1	1	1
s000482	0.948454	0.2391	1	1	1	0
s000477	0.948454	0.3958	1	1	1	1
s000475	0.948454	0.2609	1	1	1	1
s000471	0.948454	0.2340	1	1	1	1
s000552	0.948454	0.2553	1	1	1	1
s000554	0.948454	0.2979	1	1	1	1
s000307	0.948454	0.2292	1	0	1	1
s000555	0.948454	0.2609	1	1	1	1
s000282	0.948454	0.1778	1	1	1	1
s000463	0.948454	0.1778	1	1	1	1
s000123	0.948454	0.1957	1	1	1	1
