# Sequenom identity comparison	MIN_SNPS:10	PASS_THRESHOLD:0.9
# sample	common SNPs	matching calls	concordance	result
s000294	.	.	.	Unavailable
s000976	.	.	.	Unavailable
s000926	.	.	.	Unavailable
s000513	.	.	.	Unavailable
s000742	.	.	.	Unavailable
s000685	.	.	.	Unavailable
s000423	.	.	.	Unavailable
s000792	.	.	.	Unavailable
s000735	.	.	.	Unavailable
s000506	.	.	.	Unavailable
s000378	.	.	.	Unavailable
s000334	.	.	.	Unavailable
s000451	.	.	.	Unavailable
s000429	.	.	.	Unavailable
s000211	.	.	.	Unavailable
s000137	.	.	.	Unavailable
s000812	.	.	.	Unavailable
s000834	.	.	.	Unavailable
s000339	.	.	.	Unavailable
s000914	.	.	.	Unavailable
s000186	.	.	.	Unavailable
s000780	.	.	.	Unavailable
s000537	.	.	.	Unavailable
s000409	.	.	.	Unavailable
s000164	.	.	.	Unavailable
s000495	.	.	.	Unavailable
s000471	.	.	.	Unavailable
s000864	.	.	.	Unavailable
s000697	.	.	.	Unavailable
s000110	.	.	.	Unavailable
s000632	.	.	.	Unavailable
s000590	.	.	.	Unavailable
s000565	.	.	.	Unavailable
s000744	.	.	.	Unavailable
s000008	.	.	.	Unavailable
s000767	.	.	.	Unavailable
s000057	.	.	.	Unavailable
s000991	.	.	.	Unavailable
s000076	.	.	.	Unavailable
s000989	.	.	.	Unavailable
s000647	.	.	.	Unavailable
s000204	.	.	.	Unavailable
s000572	.	.	.	Unavailable
s000895	.	.	.	Unavailable
s000692	.	.	.	Unavailable
s000324	.	.	.	Unavailable
s000172	.	.	.	Unavailable
s000012	.	.	.	Unavailable
s000655	.	.	.	Unavailable
s000028	.	.	.	Unavailable
s000123	.	.	.	Unavailable
s000960	.	.	.	Unavailable
s000677	.	.	.	Unavailable
s000533	.	.	.	Unavailable
s000341	.	.	.	Unavailable
s000737	.	.	.	Unavailable
s000485	.	.	.	Unavailable
s000326	.	.	.	Unavailable
s000084	.	.	.	Unavailable
s000613	.	.	.	Unavailable
s000264	.	.	.	Unavailable
s000091	.	.	.	Unavailable
s000904	.	.	.	Unavailable
s000788	.	.	.	Unavailable
s000921	.	.	.	Unavailable
s000563	.	.	.	Unavailable
s000751	.	.	.	Unavailable
s000242	.	.	.	Unavailable
s000118	.	.	.	Unavailable
s000052	.	.	.	Unavailable
s000622	.	.	.	Unavailable
s000410	.	.	.	Unavailable
s000399	.	.	.	Unavailable
s000778	.	.	.	Unavailable
s000437	.	.	.	Unavailable
s000108	.	.	.	Unavailable
s000938	.	.	.	Unavailable
s000779	.	.	.	Unavailable
s000364	.	.	.	Unavailable
s000154	.	.	.	Unavailable
s000416	.	.	.	Unavailable
s000144	.	.	.	Unavailable
s000090	.	.	.	Unavailable
s000913	.	.	.	Unavailable
s000313	.	.	.	Unavailable
s000266	.	.	.	Unavailable
s000239	.	.	.	Unavailable
s000044	.	.	.	Unavailable
s000442	.	.	.	Unavailable
s000301	.	.	.	Unavailable
s000721	.	.	.	Unavailable
s000589	.	.	.	Unavailable
s000715	.	.	.	Unavailable
s000006	.	.	.	Unavailable
s000492	.	.	.	Unavailable
s000100	.	.	.	Unavailable
s000643	.	.	.	Unavailable
s000083	.	.	.	Unavailable
s000638	.	.	.	Unavailable
s000077	.	.	.	Unavailable
s000660	.	.	.	Unavailable
s000528	.	.	.	Unavailable
s000005	.	.	.	Unavailable
s000484	.	.	.	Unavailable
s000190	.	.	.	Unavailable
s000274	.	.	.	Unavailable
s000969	.	.	.	Unavailable
s000507	.	.	.	Unavailable
s000035	.	.	.	Unavailable
s000983	.	.	.	Unavailable
s000838	.	.	.	Unavailable
s000770	.	.	.	Unavailable
s000546	.	.	.	Unavailable
s000303	.	.	.	Unavailable
s000139	.	.	.	Unavailable
s000975	.	.	.	Unavailable
s000890	.	.	.	Unavailable
s000826	.	.	.	Unavailable
s000807	.	.	.	Unavailable
s000943	.	.	.	Unavailable
s000259	.	.	.	Unavailable
s000627	.	.	.	Unavailable
s000598	.	.	.	Unavailable
s000841	.	.	.	Unavailable
s000447	.	.	.	Unavailable
s000283	.	.	.	Unavailable
s000498	.	.	.	Unavailable
s000234	.	.	.	Unavailable
s000849	.	.	.	Unavailable
s000664	.	.	.	Unavailable
s000869	.	.	.	Unavailable
s000857	.	.	.	Unavailable
s000017	.	.	.	Unavailable
s000000	.	.	.	Unavailable
s000582	.	.	.	Unavailable
s000954	.	.	.	Unavailable
s000608	.	.	.	Unavailable
s000097	.	.	.	Unavailable
s000468	.	.	.	Unavailable
s000933	.	.	.	Unavailable
