#Sample	CR	autosomal_het	x_het
#stats from 97/210 SNPs with CR >= 95%
s000731	1.000000	0.2653	0.2708
s000059	1.000000	0.2245	0.1875
s000719	1.000000	0.2449	0.1667
s000688	1.000000	0.2653	0.0000
s000605	1.000000	0.2245	0.0000
s000598	1.000000	0.3061	0.0000
s000583	1.000000	0.1633	0.2083
s000562	1.000000	0.3061	0.1875
s000113	1.000000	0.2449	0.0417
s000483	1.000000	0.2857	0.0208
s000913	1.000000	0.2857	0.3125
s000401	1.000000	0.3469	0.2500
s000133	1.000000	0.2449	0.0000
s000136	1.000000	0.2041	0.3542
s000173	1.000000	0.3061	0.0417
s000156	1.000000	0.2041	0.0000
s000158	1.000000	0.3265	0.3542
s000200	1.000000	0.1633	0.0417
s000220	0.989691	0.2857	0.0426
s000581	0.989691	0.2449	0.1915
s000202	0.989691	0.1250	0.0417
s000090	0.989691	0.2857	0.0213
s000585	0.989691	0.3469	0.2553
s000086	0.989691	0.2500	0.1458
s000166	0.989691	0.3265	0.2766
s000599	0.989691	0.2292	0.0417
s000612	0.989691	0.3061	0.0000
s000615	0.989691	0.2245	0.0213
s000616	0.989691	0.2449	0.1489
s000686	0.989691	0.2245	0.2340
s000194	0.989691	0.1458	0.2708
s000191	0.989691	0.3061	0.2553
s000172	0.989691	0.2292	0.2708
s000752	0.989691	0.2083	0.2917
s000331	0.989691	0.1042	0.0000
s000134	0.989691	0.1429	0.0426
s000278	0.989691	0.3542	0.0208
s000132	0.989691	0.2708	0.0000
s000154	0.989691	0.2917	0.2708
s000412	0.989691	0.3061	0.0000
s000121	0.989691	0.2449	0.2979
s000488	0.989691	0.2857	0.2340
s000496	0.989691	0.2292	0.0000
s000115	0.989691	0.2449	0.0213
s000227	0.989691	0.3333	0.0000
s000514	0.989691	0.2292	0.0000
s000517	0.989691	0.2245	0.1277
s000522	0.989691	0.1875	0.0000
s000525	0.989691	0.3125	0.2292
s000542	0.989691	0.1875	0.2917
s000546	0.989691	0.1875	0.2292
s000100	0.989691	0.2083	0.0000
s000784	0.989691	0.1633	0.0426
s000789	0.989691	0.1667	0.0208
s000790	0.989691	0.2500	0.0000
s000798	0.989691	0.2292	0.0208
s000806	0.989691	0.3333	0.2500
s000822	0.989691	0.2041	0.2553
s000853	0.989691	0.1875	0.2917
s000901	0.989691	0.2245	0.0213
s000908	0.989691	0.2500	0.0417
s000932	0.989691	0.3333	0.3542
s000933	0.989691	0.3469	0.0213
s000954	0.989691	0.2857	0.2340
s000958	0.989691	0.3469	0.0426
s000009	0.989691	0.2708	0.2917
s000008	0.989691	0.2708	0.2917
s000965	0.989691	0.2653	0.2128
s000001	0.989691	0.1837	0.0213
s000000	0.989691	0.1837	0.0213
s000757	0.989691	0.1429	0.0213
s000776	0.989691	0.3061	0.0000
s000327	0.979381	0.2128	0.1250
s000767	0.979381	0.1667	0.0426
s000338	0.979381	0.2245	0.4348
s000343	0.979381	0.2708	0.0000
s000352	0.979381	0.2766	0.1875
s000358	0.979381	0.2500	0.0213
s000360	0.979381	0.2292	0.2766
s000363	0.979381	0.1875	0.0213
s000366	0.979381	0.2553	0.0417
s000368	0.979381	0.1837	0.1957
s000372	0.979381	0.1837	0.2826
s000949	0.979381	0.2708	0.2766
s000374	0.979381	0.3750	0.2766
s000940	0.979381	0.2245	0.3261
s000936	0.979381	0.3125	0.2340
s000770	0.979381	0.1429	0.2391
s000385	0.979381	0.3469	0.0000
s000395	0.979381	0.2653	0.0000
s000726	0.979381	0.3542	0.0000
s000402	0.979381	0.2245	0.0217
s000407	0.979381	0.3469	0.0000
s000925	0.979381	0.2340	0.0000
s000424	0.979381	0.1875	0.0213
s000460	0.979381	0.2083	0.0213
s000461	0.979381	0.2917	0.0213
s000753	0.979381	0.1458	0.1702
s000183	0.979381	0.2292	0.0213
s000994	0.979381	0.2708	0.1702
s000982	0.979381	0.2041	0.2826
s000196	0.979381	0.2292	0.0000
s000980	0.979381	0.1633	0.0000
s000974	0.979381	0.2083	0.0426
s000968	0.979381	0.2653	0.0435
s000764	0.979381	0.2708	0.1277
s000748	0.979381	0.2292	0.3191
s000229	0.979381	0.3191	0.1667
s000235	0.979381	0.2245	0.2609
s000242	0.979381	0.3191	0.0208
s000249	0.979381	0.1458	0.3191
s000745	0.979381	0.4167	0.0000
s000257	0.979381	0.2500	0.2128
s000960	0.979381	0.3878	0.0000
s000270	0.979381	0.1667	0.2128
s000959	0.979381	0.3542	0.0000
s000274	0.979381	0.2553	0.0000
s000741	0.979381	0.2245	0.0000
s000280	0.979381	0.2449	0.3043
s000294	0.979381	0.2857	0.0217
s000299	0.979381	0.2128	0.0208
s000313	0.979381	0.2292	0.2340
s000829	0.979381	0.3125	0.2553
s000563	0.979381	0.2292	0.2766
s000568	0.979381	0.2917	0.0426
s000575	0.979381	0.2653	0.0435
s000700	0.979381	0.2766	0.2708
s000820	0.979381	0.2292	0.0000
s000818	0.979381	0.2917	0.0000
s000815	0.979381	0.2083	0.2979
s000589	0.979381	0.2917	0.3191
s000595	0.979381	0.2083	0.2553
s000813	0.979381	0.3191	0.2083
s000699	0.979381	0.2083	0.0426
s000803	0.979381	0.3542	0.2766
s000602	0.979381	0.3333	0.1064
s000695	0.979381	0.2766	0.0000
s000607	0.979381	0.2449	0.0652
s000613	0.979381	0.1667	0.1915
s000783	0.979381	0.3673	0.1739
s000685	0.979381	0.2245	0.3696
s000628	0.979381	0.2653	0.0217
s000631	0.979381	0.3542	0.2979
s000633	0.979381	0.3333	0.0000
s000645	0.979381	0.1875	0.0000
s000657	0.979381	0.2857	0.2826
s000671	0.979381	0.2292	0.2128
s000676	0.979381	0.2340	0.1875
s000472	0.979381	0.1837	0.0870
s000923	0.979381	0.3191	0.0208
s000473	0.979381	0.2500	0.0426
s000911	0.979381	0.2500	0.0000
s000720	0.979381	0.3125	0.0213
s000489	0.979381	0.3125	0.2766
s000905	0.979381	0.1667	0.2766
s000771	0.979381	0.3125	0.2128
s000497	0.979381	0.2979	0.3125
s000897	0.979381	0.3125	0.0213
s000502	0.979381	0.1277	0.0000
s000504	0.979381	0.2449	0.0000
s000505	0.979381	0.0833	0.2979
s000511	0.979381	0.1875	0.0213
s000895	0.979381	0.2708	0.2340
s000888	0.979381	0.2292	0.0638
s000879	0.979381	0.1875	0.2766
s000864	0.979381	0.2128	0.1875
