sample	xhet	inferred	supplied
s000000	0.023256	1	1
s000001	0.023256	1	1
s000002	0.046512	1	1
s000003	0.046512	1	1
s000004	0.023256	1	1
s000005	0.023256	1	1
s000006	0.024390	1	1
s000007	0.024390	1	1
s000008	0.295455	2	2
s000009	0.295455	2	2
s000010	0.214286	2	2
s000011	0.186047	2	2
s000012	0.204545	2	2
s000013	0.279070	2	2
s000014	0.023256	1	1
s000015	0.023256	1	1
s000016	0.023810	1	1
s000017	0.000000	1	1
s000018	0.095238	1	2
s000019	0.232558	2	2
s000020	0.000000	1	1
s000021	0.190476	2	2
s000022	0.309524	2	2
s000023	0.046512	1	1
s000024	0.000000	1	1
s000025	0.024390	1	1
s000026	0.000000	1	1
s000027	0.139535	0	2
s000028	0.000000	1	1
s000029	0.050000	1	1
s000030	0.243902	2	2
s000031	0.000000	1	1
s000032	0.209302	2	2
s000033	0.243902	2	2
s000034	0.205128	2	2
s000035	0.186047	2	2
s000036	0.238095	2	2
s000037	0.023810	1	1
s000038	0.272727	2	2
s000039	0.100000	1	2
s000040	0.309524	2	2
s000041	0.047619	1	1
s000042	0.000000	1	1
s000043	0.000000	1	1
s000044	0.204545	2	2
s000045	0.238095	2	2
s000046	0.023810	1	1
s000047	0.000000	1	1
s000048	0.261905	2	2
s000049	0.023256	1	1
s000050	0.023256	1	1
s000051	0.409091	2	2
s000052	0.000000	1	1
s000053	0.047619	1	1
s000054	0.333333	2	2
s000055	0.295455	2	2
s000056	0.045455	1	1
s000057	0.238095	2	2
s000058	0.227273	2	2
s000059	0.204545	2	2
s000060	0.214286	2	2
s000061	0.000000	1	1
s000062	0.000000	1	1
s000063	0.275000	2	2
s000064	0.285714	2	2
s000065	0.261905	2	2
s000066	0.023810	1	1
s000067	0.025000	1	1
s000068	0.214286	2	2
s000069	0.214286	2	2
s000070	0.024390	1	1
s000071	0.000000	1	1
s000072	0.046512	1	1
s000073	0.022727	1	1
s000074	0.302326	2	2
s000075	0.302326	2	2
s000076	0.024390	1	1
s000077	0.333333	2	2
s000078	0.025000	1	1
s000079	0.048780	1	1
s000080	0.050000	1	1
s000081	0.000000	1	1
s000082	0.209302	2	2
s000083	0.250000	2	2
s000084	0.275000	2	2
s000085	0.333333	2	2
s000086	0.113636	0	2
s000087	0.350000	2	2
s000088	0.047619	1	1
s000089	0.238095	2	2
s000090	0.023256	1	1
s000091	0.000000	1	1
s000092	0.285714	2	2
s000093	0.000000	1	1
s000094	0.285714	2	2
s000095	0.047619	1	1
s000096	0.238095	2	2
s000097	0.279070	2	2
s000098	0.022727	1	1
s000099	0.022727	1	1
s000100	0.000000	1	1
s000101	0.325000	2	2
s000102	0.250000	2	2
s000103	0.000000	1	1
s000104	0.209302	2	2
s000105	0.000000	1	1
s000106	0.000000	1	1
s000107	0.024390	1	1
s000108	0.000000	1	1
s000109	0.023256	1	1
s000110	0.000000	1	1
s000111	0.255814	2	2
s000112	0.050000	1	1
s000113	0.045455	1	1
s000114	0.225000	2	2
s000115	0.023256	1	1
s000116	0.023256	1	1
s000117	0.045455	1	1
s000118	0.023256	1	1
s000119	0.000000	1	1
s000120	0.023256	1	1
s000121	0.279070	2	2
s000122	0.375000	2	2
s000123	0.279070	2	2
s000124	0.275000	2	2
s000125	0.348837	2	2
s000126	0.000000	1	1
s000127	0.227273	2	2
s000128	0.390244	2	2
s000129	0.000000	1	1
s000130	0.256410	2	2
s000131	0.186047	2	2
s000132	0.000000	1	1
s000133	0.000000	1	1
s000134	0.046512	1	1
s000135	0.023256	1	1
s000136	0.363636	2	2
s000137	0.261905	2	2
s000138	0.000000	1	1
s000139	0.410256	2	2
s000140	0.350000	2	2
s000141	0.000000	1	1
s000142	0.000000	1	1
s000143	0.000000	1	1
s000144	0.000000	1	1
s000145	0.025000	1	1
s000146	0.300000	2	2
s000147	0.000000	1	1
s000148	0.047619	1	1
s000149	0.190476	2	2
s000150	0.162791	2	2
s000151	0.209302	2	2
s000152	0.000000	1	1
s000153	0.023256	1	1
s000154	0.272727	2	2
s000155	0.025641	1	1
s000156	0.000000	1	1
s000157	0.300000	2	2
s000158	0.340909	2	2
s000159	0.000000	1	1
s000160	0.214286	2	2
s000161	0.023810	1	1
s000162	0.023810	1	1
s000163	0.190476	2	2
s000164	0.275000	2	2
s000165	0.279070	2	2
s000166	0.279070	2	2
s000167	0.292683	2	2
s000168	0.190476	2	2
s000169	0.175000	2	2
s000170	0.024390	1	1
s000171	0.333333	2	2
s000172	0.250000	2	2
s000173	0.045455	1	1
s000174	0.000000	1	1
