ecp	concord	id
0.000	0.000	0.00000000
0.000	0.038	1.00000000
0.000	0.077	1.00000000
0.000	0.115	1.00000000
0.000	0.154	1.00000000
0.000	0.192	1.00000000
0.000	0.231	1.00000000
0.000	0.269	1.00000000
0.000	0.308	1.00000000
0.000	0.346	1.00000000
0.000	0.385	1.00000000
0.000	0.423	1.00000000
0.000	0.462	1.00000000
0.000	0.500	1.00000000
0.000	0.538	1.00000000
0.000	0.577	1.00000000
0.000	0.615	1.00000000
0.000	0.654	1.00000000
0.000	0.692	1.00000000
0.000	0.731	1.00000000
0.000	0.769	1.00000000
0.000	0.808	1.00000000
0.000	0.846	1.00000000
0.000	0.885	1.00000000
0.000	0.923	1.00000000
0.000	0.962	1.00000000
0.000	1.000	1.00000000
0.050	0.000	0.00000000
0.050	0.038	0.00000000
0.050	0.077	0.00000000
0.050	0.115	0.00000000
0.050	0.154	0.00000000
0.050	0.192	0.00000000
0.050	0.231	0.00000000
0.050	0.269	0.00000000
0.050	0.308	0.00000000
0.050	0.346	0.00000000
0.050	0.385	0.00000000
0.050	0.423	0.00000000
0.050	0.462	0.00000000
0.050	0.500	0.00000014
0.050	0.538	0.00026071
0.050	0.577	0.32909151
0.050	0.615	0.99891735
0.050	0.654	0.99999942
0.050	0.692	1.00000000
0.050	0.731	1.00000000
0.050	0.769	1.00000000
0.050	0.808	1.00000000
0.050	0.846	1.00000000
0.050	0.885	1.00000000
0.050	0.923	1.00000000
0.050	0.962	1.00000000
0.050	1.000	1.00000000
0.100	0.000	0.00000000
0.100	0.038	0.00000000
0.100	0.077	0.00000000
0.100	0.115	0.00000000
0.100	0.154	0.00000000
0.100	0.192	0.00000000
0.100	0.231	0.00000000
0.100	0.269	0.00000000
0.100	0.308	0.00000000
0.100	0.346	0.00000000
0.100	0.385	0.00000000
0.100	0.423	0.00000000
0.100	0.462	0.00000000
0.100	0.500	0.00000000
0.100	0.538	0.00000003
0.100	0.577	0.00002713
0.100	0.615	0.02360472
0.100	0.654	0.95563494
0.100	0.692	0.99994790
0.100	0.731	0.99999994
0.100	0.769	1.00000000
0.100	0.808	1.00000000
0.100	0.846	1.00000000
0.100	0.885	1.00000000
0.100	0.923	1.00000000
0.100	0.962	1.00000000
0.100	1.000	1.00000000
0.150	0.000	0.00000000
0.150	0.038	0.00000000
0.150	0.077	0.00000000
0.150	0.115	0.00000000
0.150	0.154	0.00000000
0.150	0.192	0.00000000
0.150	0.231	0.00000000
0.150	0.269	0.00000000
0.150	0.308	0.00000000
0.150	0.346	0.00000000
0.150	0.385	0.00000000
0.150	0.423	0.00000000
0.150	0.462	0.00000000
0.150	0.500	0.00000000
0.150	0.538	0.00000000
0.150	0.577	0.00000012
0.150	0.615	0.00006518
0.150	0.654	0.03527878
0.150	0.692	0.95352112
0.150	0.731	0.99991312
0.150	0.769	0.99999985
0.150	0.808	1.00000000
0.150	0.846	1.00000000
0.150	0.885	1.00000000
0.150	0.923	1.00000000
0.150	0.962	1.00000000
0.150	1.000	1.00000000
0.200	0.000	0.00000000
0.200	0.038	0.00000000
0.200	0.077	0.00000000
0.200	0.115	0.00000000
0.200	0.154	0.00000000
