qcr	concord	id
1	0.000	0.00000000
1	0.038	0.00000000
1	0.077	0.00000000
1	0.115	0.00000000
1	0.154	0.00000000
1	0.192	0.00000000
1	0.231	0.00000000
1	0.269	0.00000000
1	0.308	0.00000000
1	0.346	0.00000000
1	0.385	0.00000000
1	0.423	0.00000000
1	0.462	0.00000000
1	0.500	0.00000000
1	0.538	0.00000000
1	0.577	0.00000000
1	0.615	0.00000000
1	0.654	0.00000004
1	0.692	0.00000589
1	0.731	0.00085121
1	0.769	0.10974040
1	0.808	0.94690992
1	0.846	0.99961266
1	0.885	0.99999732
1	0.923	0.99999998
1	0.962	1.00000000
1	1.000	1.00000000
2	0.000	0.00000000
2	0.038	0.00000000
2	0.077	0.00000000
2	0.115	0.00000000
2	0.154	0.00000000
2	0.192	0.00000000
2	0.231	0.00000000
2	0.269	0.00000000
2	0.308	0.00000000
2	0.346	0.00000000
2	0.385	0.00000000
2	0.423	0.00000000
2	0.462	0.00000000
2	0.500	0.00000000
2	0.538	0.00000000
2	0.577	0.00000000
2	0.615	0.00000000
2	0.654	0.00000000
2	0.692	0.00000000
2	0.731	0.00000001
2	0.769	0.00015346
2	0.808	0.76265808
2	0.846	0.99998514
2	0.885	1.00000000
2	0.923	1.00000000
2	0.962	1.00000000
2	1.000	1.00000000
3	0.000	0.00000000
3	0.038	0.00000000
3	0.077	0.00000000
3	0.115	0.00000000
3	0.154	0.00000000
3	0.192	0.00000000
3	0.231	0.00000000
3	0.269	0.00000000
3	0.308	0.00000000
3	0.346	0.00000000
3	0.385	0.00000000
3	0.423	0.00000000
3	0.462	0.00000000
3	0.500	0.00000000
3	0.538	0.00000000
3	0.577	0.00000000
3	0.615	0.00000000
3	0.654	0.00000000
3	0.692	0.00000000
3	0.731	0.00000000
3	0.769	0.00000019
3	0.808	0.36665408
3	0.846	0.99999943
3	0.885	1.00000000
3	0.923	1.00000000
3	0.962	1.00000000
3	1.000	1.00000000
4	0.000	0.00000000
4	0.038	0.00000000
4	0.077	0.00000000
4	0.115	0.00000000
4	0.154	0.00000000
4	0.192	0.00000000
4	0.231	0.00000000
4	0.269	0.00000000
4	0.308	0.00000000
4	0.346	0.00000000
4	0.385	0.00000000
4	0.423	0.00000000
4	0.462	0.00000000
4	0.500	0.00000000
4	0.538	0.00000000
4	0.577	0.00000000
4	0.615	0.00000000
4	0.654	0.00000000
4	0.692	0.00000000
4	0.731	0.00000000
4	0.769	0.00000000
4	0.808	0.09444727
4	0.846	0.99999998
4	0.885	1.00000000
4	0.923	1.00000000
4	0.962	1.00000000
4	1.000	1.00000000
