qcs	concord	id
4	0.000	0.00000797
4	0.250	0.00115124
4	0.500	0.14293127
4	0.750	0.96020690
4	1.000	0.99971367
5	0.000	0.00000013
5	0.200	0.00001941
5	0.400	0.00280085
5	0.600	0.28896460
5	0.800	0.98327841
5	1.000	0.99988248
6	0.000	0.00000000
6	0.167	0.00000033
6	0.333	0.00004730
6	0.500	0.00679810
6	0.667	0.49757956
6	0.833	0.99306991
6	1.000	0.99995177
7	0.000	0.00000000
7	0.143	0.00000001
7	0.286	0.00000080
7	0.429	0.00011526
7	0.571	0.01640618
7	0.714	0.70704067
7	0.857	0.99714454
7	1.000	0.99998021
8	0.000	0.00000000
8	0.125	0.00000000
8	0.250	0.00000001
8	0.375	0.00000194
8	0.500	0.00028084
8	0.625	0.03905978
8	0.750	0.85468021
8	0.875	0.99882628
8	1.000	0.99999188
9	0.000	0.00000000
9	0.111	0.00000000
9	0.222	0.00000000
9	0.333	0.00000003
9	0.444	0.00000473
9	0.556	0.00068412
9	0.667	0.09012721
9	0.778	0.93477889
9	0.889	0.99951803
9	1.000	0.99999667
10	0.000	0.00000000
10	0.100	0.00000000
10	0.200	0.00000000
10	0.300	0.00000000
10	0.400	0.00000008
10	0.500	0.00001153
10	0.600	0.00166551
10	0.700	0.19445059
10	0.800	0.97216586
10	0.900	0.99980216
10	1.000	0.99999863
11	0.000	0.00000000
11	0.091	0.00000000
11	0.182	0.00000000
11	0.273	0.00000000
11	0.364	0.00000000
11	0.455	0.00000019
11	0.545	0.00002810
11	0.636	0.00404903
11	0.727	0.37037457
11	0.818	0.98838757
11	0.909	0.99991881
11	1.000	0.99999944
12	0.000	0.00000000
12	0.083	0.00000000
12	0.167	0.00000000
12	0.250	0.00000000
12	0.333	0.00000000
12	0.417	0.00000000
12	0.500	0.00000047
12	0.583	0.00006847
12	0.667	0.00981011
12	0.750	0.58907092
12	0.833	0.99520195
12	0.917	0.99996668
12	1.000	0.99999977
13	0.000	0.00000000
13	0.077	0.00000000
13	0.154	0.00000000
13	0.231	0.00000000
13	0.308	0.00000000
13	0.385	0.00000000
13	0.462	0.00000001
13	0.538	0.00000115
13	0.615	0.00016683
13	0.692	0.02357417
13	0.769	0.77744907
13	0.846	0.99802552
13	0.923	0.99998633
13	1.000	0.99999991
14	0.000	0.00000000
14	0.071	0.00000000
14	0.143	0.00000000
14	0.214	0.00000000
14	0.286	0.00000000
14	0.357	0.00000000
14	0.429	0.00000000
14	0.500	0.00000002
14	0.571	0.00000281
14	0.643	0.00040646
14	0.714	0.05556617
14	0.786	0.89488106
14	0.857	0.99918882
14	0.929	0.99999439
14	1.000	0.99999996
15	0.000	0.00000000
15	0.067	0.00000000
15	0.133	0.00000000
15	0.200	0.00000000
15	0.267	0.00000000
15	0.333	0.00000000
15	0.400	0.00000000
15	0.467	0.00000000
15	0.533	0.00000005
15	0.600	0.00000685
15	0.667	0.00098993
15	0.733	0.12539815
15	0.800	0.95401370
15	0.867	0.99966697
15	0.933	0.99999770
15	1.000	0.99999998
16	0.000	0.00000000
16	0.062	0.00000000
16	0.125	0.00000000
16	0.188	0.00000000
16	0.250	0.00000000
16	0.312	0.00000000
16	0.375	0.00000000
16	0.438	0.00000000
16	0.500	0.00000000
16	0.562	0.00000012
16	0.625	0.00001669
16	0.688	0.00240896
16	0.750	0.25892974
16	0.812	0.98060341
16	0.875	0.99986331
16	0.938	0.99999906
16	1.000	0.99999999
17	0.000	0.00000000
17	0.059	0.00000000
17	0.118	0.00000000
17	0.176	0.00000000
17	0.235	0.00000000
17	0.294	0.00000000
17	0.353	0.00000000
17	0.412	0.00000000
17	0.471	0.00000000
17	0.529	0.00000000
17	0.588	0.00000028
17	0.647	0.00004067
17	0.706	0.00585020
17	0.765	0.45988578
17	0.824	0.99194845
17	0.882	0.99994391
17	0.941	0.99999961
17	1.000	1.00000000
18	0.000	0.00000000
18	0.056	0.00000000
18	0.111	0.00000000
18	0.167	0.00000000
18	0.222	0.00000000
18	0.278	0.00000000
18	0.333	0.00000000
18	0.389	0.00000000
18	0.444	0.00000000
18	0.500	0.00000000
18	0.556	0.00000000
18	0.611	0.00000068
18	0.667	0.00009910
18	0.722	0.01413764
18	0.778	0.67479073
18	0.833	0.99668026
18	0.889	0.99997698
18	0.944	0.99999984
18	1.000	1.00000000
19	0.000	0.00000000
19	0.053	0.00000000
19	0.105	0.00000000
19	0.158	0.00000000
19	0.211	0.00000000
19	0.263	0.00000000
19	0.316	0.00000000
19	0.368	0.00000000
19	0.421	0.00000000
19	0.474	0.00000000
19	0.526	0.00000000
19	0.579	0.00000001
19	0.632	0.00000167
19	0.684	0.00024146
19	0.737	0.03376640
19	0.789	0.83488750
19	0.842	0.99863506
19	0.895	0.99999055
19	0.947	0.99999993
19	1.000	1.00000000
20	0.000	0.00000000
20	0.050	0.00000000
20	0.100	0.00000000
20	0.150	0.00000000
20	0.200	0.00000000
20	0.250	0.00000000
20	0.300	0.00000000
20	0.350	0.00000000
20	0.400	0.00000000
20	0.450	0.00000000
20	0.500	0.00000000
20	0.550	0.00000000
20	0.600	0.00000003
20	0.650	0.00000407
20	0.700	0.00058822
20	0.750	0.07847836
20	0.800	0.92493758
20	0.850	0.99943944
20	0.900	0.99999612
20	0.950	0.99999997
20	1.000	1.00000000
21	0.000	0.00000000
21	0.048	0.00000000
21	0.095	0.00000000
21	0.143	0.00000000
21	0.190	0.00000000
21	0.238	0.00000000
21	0.286	0.00000000
21	0.333	0.00000000
21	0.381	0.00000000
21	0.429	0.00000000
21	0.476	0.00000000
21	0.524	0.00000000
21	0.571	0.00000000
21	0.619	0.00000007
21	0.667	0.00000991
21	0.714	0.00143225
21	0.762	0.17186497
21	0.810	0.96777142
21	0.857	0.99976990
21	0.905	0.99999841
21	0.952	0.99999999
21	1.000	1.00000000
22	0.000	0.00000000
22	0.045	0.00000000
22	0.091	0.00000000
22	0.136	0.00000000
22	0.182	0.00000000
22	0.227	0.00000000
22	0.273	0.00000000
22	0.318	0.00000000
22	0.364	0.00000000
22	0.409	0.00000000
22	0.455	0.00000000
22	0.500	0.00000000
22	0.545	0.00000000
22	0.591	0.00000000
22	0.636	0.00000017
22	0.682	0.00002416
22	0.727	0.00348311
22	0.773	0.33587509
22	0.818	0.98651870
22	0.864	0.99990556
22	0.909	0.99999935
