smp	concord	id
0.010	0.000	0.00000000
0.010	0.038	0.00000000
0.010	0.077	0.00000000
0.010	0.115	0.00000000
0.010	0.154	0.00000000
0.010	0.192	0.00000000
0.010	0.231	0.00000000
0.010	0.269	0.00000000
0.010	0.308	0.00000000
0.010	0.346	0.00000000
0.010	0.385	0.00000000
0.010	0.423	0.00000000
0.010	0.462	0.00000000
0.010	0.500	0.00000000
0.010	0.538	0.00000000
0.010	0.577	0.00000000
0.010	0.615	0.00000000
0.010	0.654	0.00000004
0.010	0.692	0.00000589
0.010	0.731	0.00085121
0.010	0.769	0.10974040
0.010	0.808	0.94690992
0.010	0.846	0.99961266
0.010	0.885	0.99999732
0.010	0.923	0.99999998
0.010	0.962	1.00000000
0.010	1.000	1.00000000
0.060	0.000	0.00000000
0.060	0.038	0.00000000
0.060	0.077	0.00000000
0.060	0.115	0.00000000
0.060	0.154	0.00000000
0.060	0.192	0.00000000
0.060	0.231	0.00000000
0.060	0.269	0.00000000
0.060	0.308	0.00000000
0.060	0.346	0.00000000
0.060	0.385	0.00000000
0.060	0.423	0.00000000
0.060	0.462	0.00000000
0.060	0.500	0.00000000
0.060	0.538	0.00000000
0.060	0.577	0.00000000
0.060	0.615	0.00000000
0.060	0.654	0.00000001
0.060	0.692	0.00000093
0.060	0.731	0.00013480
0.060	0.769	0.01913379
0.060	0.808	0.73839234
0.060	0.846	0.99755738
0.060	0.885	0.99998308
0.060	0.923	0.99999988
0.060	0.962	1.00000000
0.060	1.000	1.00000000
0.110	0.000	0.00000000
0.110	0.038	0.00000000
0.110	0.077	0.00000000
0.110	0.115	0.00000000
0.110	0.154	0.00000000
0.110	0.192	0.00000000
0.110	0.231	0.00000000
0.110	0.269	0.00000000
0.110	0.308	0.00000000
0.110	0.346	0.00000000
0.110	0.385	0.00000000
0.110	0.423	0.00000000
0.110	0.462	0.00000000
0.110	0.500	0.00000000
0.110	0.538	0.00000000
0.110	0.577	0.00000000
0.110	0.615	0.00000000
0.110	0.654	0.00000000
0.110	0.692	0.00000048
0.110	0.731	0.00006962
0.110	0.769	0.00997376
0.110	0.808	0.59310956
0.110	0.846	0.99528108
0.110	0.885	0.99996723
0.110	0.923	0.99999977
0.110	0.962	1.00000000
0.110	1.000	1.00000000
0.160	0.000	0.00000000
0.160	0.038	0.00000000
0.160	0.077	0.00000000
0.160	0.115	0.00000000
0.160	0.154	0.00000000
0.160	0.192	0.00000000
0.160	0.231	0.00000000
0.160	0.269	0.00000000
0.160	0.308	0.00000000
0.160	0.346	0.00000000
0.160	0.385	0.00000000
0.160	0.423	0.00000000
0.160	0.462	0.00000000
0.160	0.500	0.00000000
0.160	0.538	0.00000000
0.160	0.577	0.00000000
0.160	0.615	0.00000000
0.160	0.654	0.00000000
0.160	0.692	0.00000031
0.160	0.731	0.00004518
0.160	0.769	0.00649448
0.160	0.808	0.48608414
0.160	0.846	0.99274607
0.160	0.885	0.99994950
0.160	0.923	0.99999965
0.160	0.962	1.00000000
0.160	1.000	1.00000000
0.210	0.000	0.00000000
0.210	0.038	0.00000000
0.210	0.077	0.00000000
0.210	0.115	0.00000000
0.210	0.154	0.00000000
0.210	0.192	0.00000000
0.210	0.231	0.00000000
0.210	0.269	0.00000000
0.210	0.308	0.00000000
0.210	0.346	0.00000000
0.210	0.385	0.00000000
0.210	0.423	0.00000000
0.210	0.462	0.00000000
0.210	0.500	0.00000000
0.210	0.538	0.00000000
0.210	0.577	0.00000000
0.210	0.615	0.00000000
0.210	0.654	0.00000000
0.210	0.692	0.00000022
0.210	0.731	0.00003237
0.210	0.769	0.00466222
0.210	0.808	0.40396275
0.210	0.846	0.98990560
0.210	0.885	0.99992953
0.210	0.923	0.99999951
0.210	0.962	1.00000000
0.210	1.000	1.00000000
0.260	0.000	0.00000000
0.260	0.038	0.00000000
0.260	0.077	0.00000000
0.260	0.115	0.00000000
0.260	0.154	0.00000000
0.260	0.192	0.00000000
0.260	0.231	0.00000000
0.260	0.269	0.00000000
0.260	0.308	0.00000000
0.260	0.346	0.00000000
0.260	0.385	0.00000000
0.260	0.423	0.00000000
0.260	0.462	0.00000000
0.260	0.500	0.00000000
0.260	0.538	0.00000000
0.260	0.577	0.00000000
0.260	0.615	0.00000000
0.260	0.654	0.00000000
0.260	0.692	0.00000017
0.260	0.731	0.00002449
0.260	0.769	0.00353132
0.260	0.808	0.33895885
0.260	0.846	0.98670092
0.260	0.885	0.99990686
0.260	0.923	0.99999936
0.260	0.962	1.00000000
0.260	1.000	1.00000000
0.310	0.000	0.00000000
0.310	0.038	0.00000000
0.310	0.077	0.00000000
0.310	0.115	0.00000000
0.310	0.154	0.00000000
0.310	0.192	0.00000000
0.310	0.231	0.00000000
0.310	0.269	0.00000000
0.310	0.308	0.00000000
0.310	0.346	0.00000000
0.310	0.385	0.00000000
0.310	0.423	0.00000000
0.310	0.462	0.00000000
0.310	0.500	0.00000000
0.310	0.538	0.00000000
0.310	0.577	0.00000000
0.310	0.615	0.00000000
0.310	0.654	0.00000000
0.310	0.692	0.00000013
0.310	0.731	0.00001915
0.310	0.769	0.00276376
0.310	0.808	0.28622560
0.310	0.846	0.98305718
0.310	0.885	0.99988090
0.310	0.923	0.99999918
0.310	0.962	0.99999999
0.310	1.000	1.00000000
0.360	0.000	0.00000000
0.360	0.038	0.00000000
0.360	0.077	0.00000000
0.360	0.115	0.00000000
0.360	0.154	0.00000000
0.360	0.192	0.00000000
0.360	0.231	0.00000000
0.360	0.269	0.00000000
0.360	0.308	0.00000000
0.360	0.346	0.00000000
0.360	0.385	0.00000000
0.360	0.423	0.00000000
0.360	0.462	0.00000000
0.360	0.500	0.00000000
0.360	0.538	0.00000000
0.360	0.577	0.00000000
0.360	0.615	0.00000000
0.360	0.654	0.00000000
0.360	0.692	0.00000011
0.360	0.731	0.00001530
0.360	0.769	0.00220868
0.360	0.808	0.24258819
0.360	0.846	0.97887750
0.360	0.885	0.99985089
0.360	0.923	0.99999897
0.360	0.962	0.99999999
0.360	1.000	1.00000000
0.410	0.000	0.00000000
0.410	0.038	0.00000000
0.410	0.077	0.00000000
0.410	0.115	0.00000000
0.410	0.154	0.00000000
0.410	0.192	0.00000000
0.410	0.231	0.00000000
0.410	0.269	0.00000000
0.410	0.308	0.00000000
0.410	0.346	0.00000000
0.410	0.385	0.00000000
0.410	0.423	0.00000000
0.410	0.462	0.00000000
0.410	0.500	0.00000000
0.410	0.538	0.00000000
0.410	0.577	0.00000000
0.410	0.615	0.00000000
0.410	0.654	0.00000000
0.410	0.692	0.00000009
0.410	0.731	0.00001238
0.410	0.769	0.00178857
0.410	0.808	0.20588009
0.410	0.846	0.97403427
0.410	0.885	0.99981580
0.410	0.923	0.99999873
0.410	0.962	0.99999999
0.410	1.000	1.00000000
0.460	0.000	0.00000000
0.460	0.038	0.00000000
0.460	0.077	0.00000000
0.460	0.115	0.00000000
0.460	0.154	0.00000000
0.460	0.192	0.00000000
0.460	0.231	0.00000000
0.460	0.269	0.00000000
0.460	0.308	0.00000000
0.460	0.346	0.00000000
0.460	0.385	0.00000000
0.460	0.423	0.00000000
0.460	0.462	0.00000000
0.460	0.500	0.00000000
0.460	0.538	0.00000000
0.460	0.577	0.00000000
0.460	0.615	0.00000000
0.460	0.654	0.00000000
0.460	0.692	0.00000007
0.460	0.731	0.00001010
0.460	0.769	0.00145954
0.460	0.808	0.17457222
0.460	0.846	0.96835585
0.460	0.885	0.99977420
0.460	0.923	0.99999844
0.460	0.962	0.99999999
0.460	1.000	1.00000000
0.510	0.000	0.00000000
0.510	0.038	0.00000000
0.510	0.077	0.00000000
0.510	0.115	0.00000000
0.510	0.154	0.00000000
0.510	0.192	0.00000000
0.510	0.231	0.00000000
0.510	0.269	0.00000000
0.510	0.308	0.00000000
0.510	0.346	0.00000000
0.510	0.385	0.00000000
0.510	0.423	0.00000000
0.510	0.462	0.00000000
0.510	0.500	0.00000000
0.510	0.538	0.00000000
0.510	0.577	0.00000000
0.510	0.615	0.00000000
0.510	0.654	0.00000000
0.510	0.692	0.00000006
0.510	0.731	0.00000827
0.510	0.769	0.00119487
0.510	0.808	0.14755455
0.510	0.846	0.96160580
0.510	0.885	0.99972413
0.510	0.923	0.99999809
0.510	0.962	0.99999999
0.510	1.000	1.00000000
0.560	0.000	0.00000000
0.560	0.038	0.00000000
0.560	0.077	0.00000000
0.560	0.115	0.00000000
0.560	0.154	0.00000000
0.560	0.192	0.00000000
0.560	0.231	0.00000000
0.560	0.269	0.00000000
0.560	0.308	0.00000000
0.560	0.346	0.00000000
0.560	0.385	0.00000000
0.560	0.423	0.00000000
0.560	0.462	0.00000000
0.560	0.500	0.00000000
0.560	0.538	0.00000000
0.560	0.577	0.00000000
0.560	0.615	0.00000000
0.560	0.654	0.00000000
0.560	0.692	0.00000005
0.560	0.731	0.00000676
0.560	0.769	0.00097736
0.560	0.808	0.12400180
0.560	0.846	0.95344918
0.560	0.885	0.99966268
0.560	0.923	0.99999767
0.560	0.962	0.99999998
0.560	1.000	1.00000000
0.610	0.000	0.00000000
0.610	0.038	0.00000000
0.610	0.077	0.00000000
0.610	0.115	0.00000000
0.610	0.154	0.00000000
0.610	0.192	0.00000000
0.610	0.231	0.00000000
0.610	0.269	0.00000000
0.610	0.308	0.00000000
0.610	0.346	0.00000000
0.610	0.385	0.00000000
0.610	0.423	0.00000000
0.610	0.462	0.00000000
0.610	0.500	0.00000000
0.610	0.538	0.00000000
0.610	0.577	0.00000000
0.610	0.615	0.00000000
0.610	0.654	0.00000000
0.610	0.692	0.00000004
0.610	0.731	0.00000550
0.610	0.769	0.00079543
0.610	0.808	0.10328757
0.610	0.846	0.94339519
0.610	0.885	0.99958549
0.610	0.923	0.99999713
0.610	0.962	0.99999998
0.610	1.000	1.00000000
0.660	0.000	0.00000000
0.660	0.038	0.00000000
0.660	0.077	0.00000000
0.660	0.115	0.00000000
0.660	0.154	0.00000000
0.660	0.192	0.00000000
0.660	0.231	0.00000000
0.660	0.269	0.00000000
0.660	0.308	0.00000000
0.660	0.346	0.00000000
0.660	0.385	0.00000000
0.660	0.423	0.00000000
0.660	0.462	0.00000000
0.660	0.500	0.00000000
0.660	0.538	0.00000000
0.660	0.577	0.00000000
0.660	0.615	0.00000000
0.660	0.654	0.00000000
0.660	0.692	0.00000003
0.660	0.731	0.00000443
0.660	0.769	0.00064102
0.660	0.808	0.08492791
0.660	0.846	0.93069466
0.660	0.885	0.99948561
0.660	0.923	0.99999644
0.660	0.962	0.99999998
0.660	1.000	1.00000000
0.710	0.000	0.00000000
0.710	0.038	0.00000000
0.710	0.077	0.00000000
0.710	0.115	0.00000000
0.710	0.154	0.00000000
0.710	0.192	0.00000000
0.710	0.231	0.00000000
0.710	0.269	0.00000000
0.710	0.308	0.00000000
0.710	0.346	0.00000000
0.710	0.385	0.00000000
0.710	0.423	0.00000000
0.710	0.462	0.00000000
0.710	0.500	0.00000000
0.710	0.538	0.00000000
0.710	0.577	0.00000000
0.710	0.615	0.00000000
0.710	0.654	0.00000000
0.710	0.692	0.00000002
0.710	0.731	0.00000351
0.710	0.769	0.00050832
0.710	0.808	0.06854292
0.710	0.846	0.91414423
0.710	0.885	0.99935132
0.710	0.923	0.99999551
0.710	0.962	0.99999997
0.710	1.000	1.00000000
0.760	0.000	0.00000000
0.760	0.038	0.00000000
0.760	0.077	0.00000000
0.760	0.115	0.00000000
0.760	0.154	0.00000000
0.760	0.192	0.00000000
0.760	0.231	0.00000000
0.760	0.269	0.00000000
0.760	0.308	0.00000000
0.760	0.346	0.00000000
0.760	0.385	0.00000000
