xer	concord	id
0.010	0.000	0.00000000
0.010	0.038	0.00000000
0.010	0.077	0.00000000
0.010	0.115	0.00000000
0.010	0.154	0.00000000
0.010	0.192	0.00000000
0.010	0.231	0.00000000
0.010	0.269	0.00000000
0.010	0.308	0.00000000
0.010	0.346	0.00000000
0.010	0.385	0.00000000
0.010	0.423	0.00000000
0.010	0.462	0.00000000
0.010	0.500	0.00000000
0.010	0.538	0.00000000
0.010	0.577	0.00000000
0.010	0.615	0.00000000
0.010	0.654	0.00000004
0.010	0.692	0.00000589
0.010	0.731	0.00085121
0.010	0.769	0.10974040
0.010	0.808	0.94690992
0.010	0.846	0.99961266
0.010	0.885	0.99999732
0.010	0.923	0.99999998
0.010	0.962	1.00000000
0.010	1.000	1.00000000
0.020	0.000	0.00000000
0.020	0.038	0.00000000
0.020	0.077	0.00000000
0.020	0.115	0.00000000
0.020	0.154	0.00000000
0.020	0.192	0.00000000
0.020	0.231	0.00000000
0.020	0.269	0.00000000
0.020	0.308	0.00000000
0.020	0.346	0.00000000
0.020	0.385	0.00000000
0.020	0.423	0.00000000
0.020	0.462	0.00000000
0.020	0.500	0.00000000
0.020	0.538	0.00000000
0.020	0.577	0.00000000
0.020	0.615	0.00000024
0.020	0.654	0.00001753
0.020	0.692	0.00125398
0.020	0.731	0.08249883
0.020	0.769	0.86558111
0.020	0.808	0.99783626
0.020	0.846	0.99996972
0.020	0.885	0.99999958
0.020	0.923	0.99999999
0.020	0.962	1.00000000
0.020	1.000	1.00000000
0.030	0.000	0.00000000
0.030	0.038	0.00000000
0.030	0.077	0.00000000
0.030	0.115	0.00000000
0.030	0.154	0.00000000
0.030	0.192	0.00000000
0.030	0.231	0.00000000
0.030	0.269	0.00000000
0.030	0.308	0.00000000
0.030	0.346	0.00000000
0.030	0.385	0.00000000
0.030	0.423	0.00000000
0.030	0.462	0.00000000
0.030	0.500	0.00000000
0.030	0.538	0.00000001
0.030	0.577	0.00000025
0.030	0.615	0.00001198
0.030	0.654	0.00056582
0.030	0.692	0.02605676
0.030	0.731	0.55836089
0.030	0.769	0.98353799
0.030	0.808	0.99964594
0.030	0.846	0.99999251
0.030	0.885	0.99999984
0.030	0.923	1.00000000
0.030	0.962	1.00000000
0.030	1.000	1.00000000
0.040	0.000	0.00000000
0.040	0.038	0.00000000
0.040	0.077	0.00000000
0.040	0.115	0.00000000
0.040	0.154	0.00000000
0.040	0.192	0.00000000
0.040	0.231	0.00000000
0.040	0.269	0.00000000
0.040	0.308	0.00000000
0.040	0.346	0.00000000
0.040	0.385	0.00000000
0.040	0.423	0.00000000
0.040	0.462	0.00000000
0.040	0.500	0.00000000
0.040	0.538	0.00000015
0.040	0.577	0.00000514
0.040	0.615	0.00018020
0.040	0.654	0.00628245
0.040	0.692	0.18151015
0.040	0.731	0.88608840
0.040	0.769	0.99634842
0.040	0.808	0.99989553
0.040	0.846	0.99999702
0.040	0.885	0.99999992
0.040	0.923	1.00000000
0.040	0.962	1.00000000
0.040	1.000	1.00000000
0.050	0.000	0.00000000
0.050	0.038	0.00000000
0.050	0.077	0.00000000
0.050	0.115	0.00000000
0.050	0.154	0.00000000
0.050	0.192	0.00000000
0.050	0.231	0.00000000
0.050	0.269	0.00000000
0.050	0.308	0.00000000
0.050	0.346	0.00000000
0.050	0.385	0.00000000
0.050	0.423	0.00000000
0.050	0.462	0.00000000
0.050	0.500	0.00000007
0.050	0.538	0.00000184
0.050	0.577	0.00005112
0.050	0.615	0.00141764
0.050	0.654	0.03792751
0.050	0.692	0.52261345
0.050	0.731	0.96815291
0.050	0.769	0.99881683
0.050	0.808	0.99995734
0.050	0.846	0.99999846
0.050	0.885	0.99999994
0.050	0.923	1.00000000
0.050	0.962	1.00000000
0.050	1.000	1.00000000
0.060	0.000	0.00000000
0.060	0.038	0.00000000
0.060	0.077	0.00000000
0.060	0.115	0.00000000
0.060	0.154	0.00000000
0.060	0.192	0.00000000
0.060	0.231	0.00000000
0.060	0.269	0.00000000
0.060	0.308	0.00000000
0.060	0.346	0.00000000
0.060	0.385	0.00000000
0.060	0.423	0.00000000
0.060	0.462	0.00000003
0.060	0.500	0.00000062
0.060	0.538	0.00001415
0.060	0.577	0.00032399
0.060	0.615	0.00736635
0.060	0.654	0.14524227
0.060	0.692	0.79553370
0.060	0.731	0.98889986
0.060	0.769	0.99951002
0.060	0.808	0.99997859
0.060	0.846	0.99999906
0.060	0.885	0.99999996
0.060	0.923	1.00000000
0.060	0.962	1.00000000
0.060	1.000	1.00000000
0.070	0.000	0.00000000
0.070	0.038	0.00000000
0.070	0.077	0.00000000
0.070	0.115	0.00000000
0.070	0.154	0.00000000
0.070	0.192	0.00000000
0.070	0.231	0.00000000
0.070	0.269	0.00000000
0.070	0.308	0.00000000
0.070	0.346	0.00000000
0.070	0.385	0.00000000
0.070	0.423	0.00000001
0.070	0.462	0.00000021
0.070	0.500	0.00000399
0.070	0.538	0.00007748
0.070	0.577	0.00150233
0.070	0.615	0.02838614
0.070	0.654	0.36195737
0.070	0.692	0.91677393
0.070	0.731	0.99534654
0.070	0.769	0.99975929
0.070	0.808	0.99998760
0.070	0.846	0.99999936
0.070	0.885	0.99999997
0.070	0.923	1.00000000
0.070	0.962	1.00000000
0.070	1.000	1.00000000
0.080	0.000	0.00000000
0.080	0.038	0.00000000
0.080	0.077	0.00000000
0.080	0.115	0.00000000
0.080	0.154	0.00000000
0.080	0.192	0.00000000
0.080	0.231	0.00000000
0.080	0.269	0.00000000
0.080	0.308	0.00000000
0.080	0.346	0.00000000
0.080	0.385	0.00000000
0.080	0.423	0.00000007
0.080	0.462	0.00000117
0.080	0.500	0.00001967
0.080	0.538	0.00033056
0.080	0.577	0.00552707
0.080	0.615	0.08543299
0.080	0.654	0.61090508
0.080	0.692	0.96348926
0.080	0.731	0.99775049
0.080	0.769	0.99986588
0.080	0.808	0.99999202
0.080	0.846	0.99999953
0.080	0.885	0.99999997
0.080	0.923	1.00000000
0.080	0.962	1.00000000
0.080	1.000	1.00000000
0.090	0.000	0.00000000
0.090	0.038	0.00000000
0.090	0.077	0.00000000
0.090	0.115	0.00000000
0.090	0.154	0.00000000
0.090	0.192	0.00000000
0.090	0.231	0.00000000
0.090	0.269	0.00000000
0.090	0.308	0.00000000
0.090	0.346	0.00000000
0.090	0.385	0.00000002
0.090	0.423	0.00000036
0.090	0.462	0.00000534
0.090	0.500	0.00007891
0.090	0.538	0.00116484
0.090	0.577	0.01694191
0.090	0.615	0.20298310
0.090	0.654	0.79007398
0.090	0.692	0.98233758
0.090	0.731	0.99878479
0.090	0.769	0.99991767
0.090	0.808	0.99999443
0.090	0.846	0.99999962
0.090	0.885	0.99999997
0.090	0.923	1.00000000
0.090	0.962	1.00000000
0.090	1.000	1.00000000
0.100	0.000	0.00000000
0.100	0.038	0.00000000
0.100	0.077	0.00000000
0.100	0.115	0.00000000
0.100	0.154	0.00000000
0.100	0.192	0.00000000
0.100	0.231	0.00000000
0.100	0.269	0.00000000
0.100	0.308	0.00000000
0.100	0.346	0.00000001
0.100	0.385	0.00000012
0.100	0.423	0.00000155
0.100	0.462	0.00002044
0.100	0.500	0.00026885
0.100	0.538	0.00352489
0.100	0.577	0.04446115
0.100	0.615	0.37967089
0.100	0.654	0.88951227
0.100	0.692	0.99064535
0.100	0.731	0.99928263
0.100	0.769	0.99994543
0.100	0.808	0.99999585
0.100	0.846	0.99999968
0.100	0.885	0.99999998
0.100	0.923	1.00000000
0.100	0.962	1.00000000
0.100	1.000	1.00000000
0.110	0.000	0.00000000
0.110	0.038	0.00000000
0.110	0.077	0.00000000
0.110	0.115	0.00000000
0.110	0.154	0.00000000
0.110	0.192	0.00000000
0.110	0.231	0.00000000
0.110	0.269	0.00000000
0.110	0.308	0.00000000
0.110	0.346	0.00000004
0.110	0.385	0.00000049
0.110	0.423	0.00000574
0.110	0.462	0.00006789
0.110	0.500	0.00080223
0.110	0.538	0.00940487
0.110	0.577	0.10093786
0.110	0.615	0.57037557
0.110	0.654	0.94011715
0.110	0.692	0.99464228
0.110	0.731	0.99954469
0.110	0.769	0.99996148
0.110	0.808	0.99999674
0.110	0.846	0.99999972
0.110	0.885	0.99999998
0.110	0.923	1.00000000
0.110	0.962	1.00000000
0.110	1.000	1.00000000
0.120	0.000	0.00000000
0.120	0.038	0.00000000
0.120	0.077	0.00000000
0.120	0.115	0.00000000
0.120	0.154	0.00000000
0.120	0.192	0.00000000
0.120	0.231	0.00000000
0.120	0.269	0.00000000
0.120	0.308	0.00000002
0.120	0.346	0.00000016
0.120	0.385	0.00000174
0.120	0.423	0.00001870
0.120	0.462	0.00020040
0.120	0.500	0.00214375
0.120	0.538	0.02250765
0.120	0.577	0.19794066
0.120	0.615	0.72565823
0.120	0.654	0.96592836
0.120	0.692	0.99671973
0.120	0.731	0.99969303
0.120	0.769	0.99997135
0.120	0.808	0.99999733
0.120	0.846	0.99999975
0.120	0.885	0.99999998
0.120	0.923	1.00000000
0.120	0.962	1.00000000
0.120	1.000	1.00000000
0.130	0.000	0.00000000
0.130	0.038	0.00000000
0.130	0.077	0.00000000
0.130	0.115	0.00000000
0.130	0.154	0.00000000
0.130	0.192	0.00000000
0.130	0.231	0.00000000
0.130	0.269	0.00000001
0.130	0.308	0.00000006
0.130	0.346	0.00000057
0.130	0.385	0.00000560
0.130	0.423	0.00005479
0.130	0.462	0.00053564
0.130	0.500	0.00521456
0.130	0.538	0.04877075
0.130	0.577	0.33399394
0.130	0.615	0.83065443
0.130	0.654	0.97958223
0.130	0.692	0.99787354
0.130	0.731	0.99978218
0.130	0.769	0.99997773
0.130	0.808	0.99999772
0.130	0.846	0.99999977
0.130	0.885	0.99999998
0.130	0.923	1.00000000
0.130	0.962	1.00000000
0.130	1.000	1.00000000
0.140	0.000	0.00000000
0.140	0.038	0.00000000
0.140	0.077	0.00000000
0.140	0.115	0.00000000
0.140	0.154	0.00000000
0.140	0.192	0.00000000
0.140	0.231	0.00000000
0.140	0.269	0.00000002
0.140	0.308	0.00000020
0.140	0.346	0.00000182
0.140	0.385	0.00001633
0.140	0.423	0.00014662
0.140	0.462	0.00131482
0.140	0.500	0.01168195
0.140	0.538	0.09593936
0.140	0.577	0.48790222
0.140	0.615	0.89532992
0.140	0.654	0.98714595
0.140	0.692	0.99855173
0.140	0.731	0.99983848
0.140	0.769	0.99998201
0.140	0.808	0.99999800
0.140	0.846	0.99999978
0.140	0.885	0.99999998
0.140	0.923	1.00000000
0.140	0.962	1.00000000
0.140	1.000	1.00000000
0.150	0.000	0.00000000
0.150	0.038	0.00000000
0.150	0.077	0.00000000
0.150	0.115	0.00000000
0.150	0.154	0.00000000
0.150	0.192	0.00000000
0.150	0.231	0.00000001
0.150	0.269	0.00000008
0.150	0.308	0.00000064
0.150	0.346	0.00000529
0.150	0.385	0.00004382
0.150	0.423	0.00036280
0.150	0.462	0.00299685
0.150	0.500	0.02428999
0.150	0.538	0.17093570
0.150	0.577	0.63066726
0.150	0.615	0.93395988
0.150	0.654	0.99153456
0.150	0.692	0.99897019
0.150	0.731	0.99987555
0.150	0.769	0.99998497
0.150	0.808	0.99999819
0.150	0.846	0.99999978
0.150	0.885	0.99999997
0.150	0.923	1.00000000
0.150	0.962	1.00000000
0.150	1.000	1.00000000
0.160	0.000	0.00000000
0.160	0.038	0.00000000
0.160	0.077	0.00000000
0.160	0.115	0.00000000
0.160	0.154	0.00000000
0.160	0.192	0.00000000
0.160	0.231	0.00000003
0.160	0.269	0.00000024
0.160	0.308	0.00000186
0.160	0.346	0.00001425
0.160	0.385	0.00010932
