# Sequenom identity comparison	MIN_SNPS:10	PASS_THRESHOLD:0.9
# sample	common SNPs	matching calls	concordance	result
plate04_A04_s000312	.	.	.	Unavailable
plate03_C06_s000234	.	.	.	Unavailable
plate11_B02_s000969	.	.	.	Unavailable
plate05_B08_s000441	.	.	.	Unavailable
plate07_G08_s000638	.	.	.	Unavailable
plate03_E11_s000276	.	.	.	Unavailable
plate03_G08_s000254	.	.	.	Unavailable
plate08_G02_s000686	.	.	.	Unavailable
plate02_H01_s000103	.	.	.	Unavailable
plate09_H05_s000807	.	.	.	Unavailable
plate02_F12_s000189	.	.	.	Unavailable
plate01_F05_s000037	.	.	.	Unavailable
plate07_B05_s000609	.	.	.	Unavailable
plate03_H01_s000199	.	.	.	Unavailable
plate04_F07_s000341	.	.	.	Unavailable
plate02_G06_s000142	.	.	.	Unavailable
plate01_H03_s000023	.	.	.	Unavailable
plate04_H11_s000375	.	.	.	Unavailable
plate09_G11_s000854	.	.	.	Unavailable
plate06_D09_s000547	.	.	.	Unavailable
plate05_A03_s000400	.	.	.	Unavailable
plate03_A03_s000208	.	.	.	Unavailable
plate02_E06_s000140	.	.	.	Unavailable
plate08_B01_s000673	.	.	.	Unavailable
plate10_E02_s000876	.	.	.	Unavailable
plate01_A08_s000056	.	.	.	Unavailable
plate11_G02_s000974	.	.	.	Unavailable
plate08_D11_s000755	.	.	.	Unavailable
plate02_C05_s000130	.	.	.	Unavailable
plate08_C03_s000690	.	.	.	Unavailable
plate01_A02_s000008	.	.	.	Unavailable
plate09_G08_s000830	.	.	.	Unavailable
plate07_E10_s000652	.	.	.	Unavailable
plate03_E07_s000244	.	.	.	Unavailable
plate02_G10_s000174	.	.	.	Unavailable
plate02_C03_s000114	.	.	.	Unavailable
plate07_C11_s000658	.	.	.	Unavailable
plate09_A03_s000784	.	.	.	Unavailable
plate09_B09_s000833	.	.	.	Unavailable
plate01_F02_s000013	.	.	.	Unavailable
plate08_B11_s000753	.	.	.	Unavailable
plate05_B03_s000401	.	.	.	Unavailable
plate02_D05_s000131	.	.	.	Unavailable
plate02_B02_s000105	.	.	.	Unavailable
plate02_H08_s000159	.	.	.	Unavailable
plate09_B06_s000809	.	.	.	Unavailable
plate04_C06_s000330	.	.	.	Unavailable
plate09_C11_s000850	.	.	.	Unavailable
plate04_D03_s000307	.	.	.	Unavailable
plate06_H06_s000527	.	.	.	Unavailable
plate03_G07_s000246	.	.	.	Unavailable
plate04_C02_s000298	.	.	.	Unavailable
plate09_C01_s000770	.	.	.	Unavailable
plate10_H02_s000879	.	.	.	Unavailable
plate02_A05_s000128	.	.	.	Unavailable
plate06_E12_s000572	.	.	.	Unavailable
plate03_B04_s000217	.	.	.	Unavailable
plate04_E09_s000356	.	.	.	Unavailable
plate10_B02_s000873	.	.	.	Unavailable
plate05_H09_s000455	.	.	.	Unavailable
plate04_F09_s000357	.	.	.	Unavailable
plate02_B12_s000185	.	.	.	Unavailable
plate05_B04_s000409	.	.	.	Unavailable
plate08_C10_s000746	.	.	.	Unavailable
plate08_E08_s000732	.	.	.	Unavailable
plate10_E01_s000868	.	.	.	Unavailable
plate02_E08_s000156	.	.	.	Unavailable
plate10_E05_s000900	.	.	.	Unavailable
plate05_H12_s000479	.	.	.	Unavailable
plate03_D12_s000283	.	.	.	Unavailable
plate07_C03_s000594	.	.	.	Unavailable
plate09_A07_s000816	.	.	.	Unavailable
plate06_B03_s000497	.	.	.	Unavailable
plate02_F10_s000173	.	.	.	Unavailable
plate08_G07_s000726	.	.	.	Unavailable
plate08_H01_s000679	.	.	.	Unavailable
plate06_D04_s000507	.	.	.	Unavailable
plate05_H06_s000431	.	.	.	Unavailable
plate11_H04_s000991	.	.	.	Unavailable
plate05_B07_s000433	.	.	.	Unavailable
plate09_A05_s000800	.	.	.	Unavailable
plate08_A05_s000704	.	.	.	Unavailable
plate06_A10_s000552	.	.	.	Unavailable
plate05_E10_s000460	.	.	.	Unavailable
plate05_E09_s000452	.	.	.	Unavailable
