Hipsci12H DN322226L																
	Supplier Plate ID	SAMPLE ID	Supplier WELL ID	MAF WELL ID	 MAF ID	date of amp	kit	cRNA		15 ul	ID	water	BEADCHIP	ARRAY	BEADCHIP_ARRAY	DATE OF HYB
Hipsci12H	DN322226L	QC1Hip-515	A1	A8	57	10/02/2014	1306036/1306101	1880		18800	57	115.3	9425128065	A	9425128065_A	11/02/2014
Hipsci12H	DN322226L	QC1Hip-516	B1	B8	58	10/02/2014	1306036/1306101	1985		19850	58	122.3	9425128065	C	9425128065_C	11/02/2014
Hipsci12H	DN322226L	QC1Hip-673	C1	C8	59	10/02/2014	1306036/1306101	2123		21230	59	131.5	9425128065	E	9425128065_E	11/02/2014
Hipsci12H	DN322226L	QC1Hip-847	D1	D8	60	10/02/2014	1306036/1306101	2526		25260	60	158.4	9425128065	G	9425128065_G	11/02/2014
Hipsci12H	DN322226L	QC1Hip-835	E1	E8	61	10/02/2014	1306036/1306101	2177		21770	61	135.1	9425128065	I	9425128065_I	11/02/2014
Hipsci12H	DN322226L	QC1Hip-841	F1	F8	62	10/02/2014	1306036/1306101	1265		12650	62	74.3	9425128065	K	9425128065_K	11/02/2014
Hipsci12H	DN322226L	QC1Hip-842	G1	G8	63	10/02/2014	1306036/1306101	1635		16350	63	99.0	9425128065	B	9425128065_B	11/02/2014
Hipsci12H	DN322226L	QC1Hip-843	H1	H8	64	10/02/2014	1306036/1306101	1607		16070	64	97.1	9425128065	D	9425128065_D	11/02/2014
Hipsci12H	DN322226L	QC1Hip-844	A2	A9	65	10/02/2014	1306036/1306101	527		5270	65	25.1	9425128065	F	9425128065_F	11/02/2014
Hipsci12H	DN322226L	QC1Hip-848	B2	B9	66	10/02/2014	1306036/1306101	951.9		9519	66	53.5	9425128065	H	9425128065_H	11/02/2014
Hipsci12H	DN322226L	QC1Hip-846	C2	C9	67	10/02/2014	1306036/1306101	1844		18440	67	112.9	9425128065	J	9425128065_J	11/02/2014
Hipsci12H	DN322226L	QC1Hip-845	D2	D9	68	10/02/2014	1306036/1306101	1739		17390	68	105.9	9425128065	L	9425128065_L	11/02/2014
Kit Control		Kit Control	F10	F10	78	10/02/2014	1306036/1306101	1531		22965	78					
