sample	xhet	inferred	supplied
sample_00001	0.00743	NA	1
sample_00002	0.283183	NA	2
sample_00003	0.010335	NA	1
sample_00004	0.243916	NA	2
sample_00005	0.260858	NA	2
sample_00006	0.264975	NA	2
sample_00007	0.011948	NA	1
sample_00008	0.011093	NA	1
sample_00009	0.009906	NA	1
sample_00010	0.256436	NA	2
sample_00011	0.250794	NA	2
sample_00012	0.009391	NA	1
sample_00013	0.010478	NA	1
sample_00014	0.009418	NA	1
sample_00015	0.254867	NA	2
sample_00016	0.009958	NA	1
sample_00017	0.229617	NA	2
sample_00018	0.135153	NA	2
sample_00019	0.291735	NA	2
sample_00020	0.009786	NA	1
sample_00021	0.006414	NA	1
sample_00022	0.009305	NA	1
sample_00023	0.007801	NA	1
sample_00024	0.011879	NA	1
sample_00025	0.250512	NA	2
sample_00026	0.252958	NA	2
sample_00027	0.006327	NA	1
sample_00028	0.009755	NA	1
sample_00029	0.007844	NA	1
sample_00030	0.202907	NA	2
sample_00031	0.01136	NA	1
sample_00032	0.007264	NA	1
sample_00033	0.255112	NA	2
sample_00034	0.012115	NA	1
sample_00035	0.011002	NA	1
sample_00036	0.011068	NA	1
sample_00037	0.008584	NA	1
sample_00038	0.251263	NA	2
sample_00039	0.263327	NA	2
sample_00040	0.010495	NA	1
sample_00041	0.013188	NA	1
sample_00042	0.264744	NA	2
sample_00043	0.220926	NA	2
sample_00044	0.221521	NA	2
sample_00045	0.242428	NA	2
sample_00046	0.010408	NA	1
sample_00047	0.295147	NA	2
sample_00048	0.011131	NA	1
sample_00049	0.280973	NA	2
sample_00050	0.285246	NA	2
sample_00051	0.008861	NA	1
sample_00052	0.201893	NA	1
sample_00053	0.011019	NA	1
sample_00054	0.267006	NA	2
sample_00055	0.265603	NA	2
sample_00056	0.2379	NA	2
sample_00057	0.224827	NA	2
sample_00058	0.010977	NA	1
sample_00059	0.03993	NA	2
sample_00060	0.291782	NA	2
sample_00061	0.260386	NA	2
sample_00062	0.298227	NA	2
sample_00063	0.245747	NA	2
sample_00064	0.011321	NA	1
sample_00065	0.0098	NA	1
sample_00066	0.00995	NA	1
sample_00067	0.014093	NA	1
sample_00068	0.012037	NA	1
sample_00069	0.0104	NA	1
sample_00070	0.010485	NA	1
sample_00071	0.321734	NA	2
sample_00072	0.282042	NA	2
sample_00073	0.218186	NA	2
sample_00074	0.252883	NA	2
sample_00075	0.010452	NA	1
sample_00076	0.009408	NA	1
sample_00077	0.006433	NA	1
sample_00078	0.009878	NA	1
sample_00079	0.250332	NA	2
sample_00080	0.241393	NA	2
sample_00081	0.200054	NA	2
sample_00082	0.005908	NA	1
sample_00083	0.284331	NA	2
sample_00084	0.010385	NA	1
sample_00085	0.272236	NA	2
sample_00086	0.007339	NA	1
sample_00087	0.217448	NA	2
sample_00088	0.011942	NA	1
sample_00089	0.007738	NA	1
sample_00090	0.011703	NA	1
sample_00091	0.274319	NA	2
sample_00092	0.011537	NA	1
sample_00093	0.192073	NA	2
sample_00094	0.22728	NA	2
sample_00095	0.010904	NA	1
sample_00096	0.24807	NA	2
sample_00097	0.012508	NA	1
sample_00098	0.009067	NA	1
sample_00099	0.008685	NA	1
sample_00100	0.009087	NA	1
