sample	xhet	inferred	supplied
sample_00001	0.00743	1	1
sample_00002	0.283183	2	2
sample_00003	0.010335	1	1
sample_00004	0.243916	2	2
sample_00005	0.260858	2	2
sample_00006	0.264975	2	2
sample_00007	0.011948	1	1
sample_00008	0.011093	1	1
sample_00009	0.009906	1	1
sample_00010	0.256436	2	2
sample_00011	0.250794	2	2
sample_00012	0.009391	1	1
sample_00013	0.010478	1	1
sample_00014	0.009418	1	1
sample_00015	0.254867	2	2
sample_00016	0.009958	1	1
sample_00017	0.229617	2	2
sample_00018	0.135153	2	2
sample_00019	0.291735	2	2
sample_00020	0.009786	1	1
sample_00021	0.006414	1	1
sample_00022	0.009305	1	1
sample_00023	0.007801	1	1
sample_00024	0.011879	1	1
sample_00025	0.250512	2	2
sample_00026	0.252958	2	2
sample_00027	0.006327	1	1
sample_00028	0.009755	1	1
sample_00029	0.007844	1	1
sample_00030	0.202907	2	2
sample_00031	0.01136	1	1
sample_00032	0.007264	1	1
sample_00033	0.255112	2	2
sample_00034	0.012115	1	1
sample_00035	0.011002	1	1
sample_00036	0.011068	1	1
sample_00037	0.008584	1	1
sample_00038	0.251263	2	2
sample_00039	0.263327	2	2
sample_00040	0.010495	1	1
sample_00041	0.013188	1	1
sample_00042	0.264744	2	2
sample_00043	0.220926	2	2
sample_00044	0.221521	2	2
sample_00045	0.242428	2	2
sample_00046	0.010408	1	1
sample_00047	0.295147	2	2
sample_00048	0.011131	1	1
sample_00049	0.280973	2	2
sample_00050	0.285246	2	2
sample_00051	0.008861	1	1
sample_00052	0.201893	2	1
sample_00053	0.011019	1	1
sample_00054	0.267006	2	2
sample_00055	0.265603	2	2
sample_00056	0.2379	2	2
sample_00057	0.224827	2	2
sample_00058	0.010977	1	1
sample_00059	0.03993	0	2
sample_00060	0.291782	2	2
sample_00061	0.260386	2	2
sample_00062	0.298227	2	2
sample_00063	0.245747	2	2
sample_00064	0.011321	1	1
sample_00065	0.0098	1	1
sample_00066	0.00995	1	1
sample_00067	0.014093	1	1
sample_00068	0.012037	1	1
sample_00069	0.0104	1	1
sample_00070	0.010485	1	1
sample_00071	0.321734	2	2
sample_00072	0.282042	2	2
sample_00073	0.218186	2	2
sample_00074	0.252883	2	2
sample_00075	0.010452	1	1
sample_00076	0.009408	1	1
sample_00077	0.006433	1	1
sample_00078	0.009878	1	1
sample_00079	0.250332	2	2
sample_00080	0.241393	2	2
sample_00081	0.200054	2	2
sample_00082	0.005908	1	1
sample_00083	0.284331	2	2
sample_00084	0.010385	1	1
sample_00085	0.272236	2	2
sample_00086	0.007339	1	1
sample_00087	0.217448	2	2
sample_00088	0.011942	1	1
sample_00089	0.007738	1	1
sample_00090	0.011703	1	1
sample_00091	0.274319	2	2
sample_00092	0.011537	1	1
sample_00093	0.192073	2	2
sample_00094	0.22728	2	2
sample_00095	0.010904	1	1
sample_00096	0.24807	2	2
sample_00097	0.012508	1	1
sample_00098	0.009067	1	1
sample_00099	0.008685	1	1
sample_00100	0.009087	1	1
